,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,撥補
0,2020-11-02,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,10.0,,0.0,10.0,10.0,0.0,45,
1,2020-11-09,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,10.0,,0.0,10.0,10.0,0.0,46,
