,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
55,DLI1,T04220215,微量噴霧器,1.0,2022-06-09,True,23,2022,5.0,2.0,202206.0,T-不計價
56,DLI1,T04220215,微量噴霧器,1.0,2022-06-13,True,24,2022,5.0,2.0,202206.0,T-不計價
57,DLI1,T04220215,微量噴霧器,1.0,2022-06-15,True,24,2022,5.0,2.0,202206.0,T-不計價
58,DLI1,T04220215,微量噴霧器,1.0,2022-06-22,True,25,2022,5.0,2.0,202206.0,T-不計價
59,DLI1,T04220215,微量噴霧器,1.0,2022-06-22,True,25,2022,5.0,2.0,202206.0,T-不計價
60,DLI1,T04220215,微量噴霧器,1.0,2022-06-28,True,26,2022,5.0,2.0,202206.0,T-不計價
61,DLI1,T04220215,微量噴霧器,1.0,2022-07-01,True,26,2022,5.0,2.0,202207.0,T-不計價
62,DLI1,T04220215,微量噴霧器,1.0,2022-07-04,True,27,2022,5.0,2.0,202207.0,T-不計價
63,DLI1,T04220215,微量噴霧器,1.0,2022-07-05,True,27,2022,5.0,2.0,202207.0,T-不計價
64,DLI1,T04220215,微量噴霧器,1.0,2022-07-20,True,29,2022,5.0,2.0,202207.0,T-不計價
65,DLI1,T04220215,微量噴霧器,1.0,2022-07-28,True,30,2022,5.0,2.0,202207.0,T-不計價
66,DLI1,T04220215,微量噴霧器,1.0,2022-07-30,False,30,2022,5.0,2.0,202207.0,T-不計價
67,DLI1,T04220215,微量噴霧器,1.0,2022-08-01,True,31,2022,5.0,2.0,202208.0,T-不計價
68,DLI1,T04220215,微量噴霧器,1.0,2022-08-01,True,31,2022,5.0,2.0,202208.0,T-不計價
69,DLI1,T04220215,微量噴霧器,1.0,2022-08-05,True,31,2022,5.0,2.0,202208.0,T-不計價
70,DLI1,T04220215,微量噴霧器,1.0,2022-08-08,True,32,2022,5.0,2.0,202208.0,T-不計價
