,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
39,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-06-28,True,26,2022,5.0,2.0,202206.0,C-計價
40,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-06-29,True,26,2022,5.0,2.0,202206.0,C-計價
41,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-07-04,True,27,2022,5.0,2.0,202207.0,C-計價
42,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-07-11,True,28,2022,5.0,2.0,202207.0,C-計價
43,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-07-22,True,29,2022,5.0,2.0,202207.0,C-計價
44,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-02,True,31,2022,5.0,2.0,202208.0,C-計價
45,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-04,True,31,2022,5.0,2.0,202208.0,C-計價
46,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-08-06,False,31,2022,5.0,2.0,202208.0,C-計價
47,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-08,True,32,2022,5.0,2.0,202208.0,C-計價
48,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-08-11,True,32,2022,5.0,2.0,202208.0,C-計價
49,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-12,True,32,2022,5.0,2.0,202208.0,C-計價
50,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-14,False,32,2022,5.0,2.0,202208.0,C-計價
51,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-20,False,33,2022,5.0,2.0,202208.0,C-計價
52,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-26,True,34,2022,5.0,2.0,202208.0,C-計價
53,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-29,True,35,2022,5.0,2.0,202208.0,C-計價
54,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-30,True,35,2022,5.0,2.0,202208.0,C-計價
55,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-02,True,35,2022,5.0,2.0,202209.0,C-計價
56,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-14,True,37,2022,5.0,2.0,202209.0,C-計價
57,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-09-19,True,38,2022,5.0,2.0,202209.0,C-計價
58,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-09-19,True,38,2022,5.0,2.0,202209.0,C-計價
59,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-09-20,True,38,2022,5.0,2.0,202209.0,C-計價
60,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-23,True,38,2022,5.0,2.0,202209.0,C-計價
61,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-25,False,38,2022,5.0,2.0,202209.0,C-計價
62,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-29,True,39,2022,5.0,2.0,202209.0,C-計價
63,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-02,False,39,2022,5.0,2.0,202210.0,C-計價
64,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-02,False,39,2022,5.0,2.0,202210.0,C-計價
65,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-03,False,40,2022,5.0,2.0,202210.0,C-計價
66,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-11,True,41,2022,4.0,3.0,202210.0,C-計價
67,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-10-18,True,42,2022,5.0,2.0,202210.0,C-計價
68,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-19,True,42,2022,5.0,2.0,202210.0,C-計價
69,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-21,True,42,2022,5.0,2.0,202210.0,C-計價
70,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-10-22,False,42,2022,5.0,2.0,202210.0,C-計價
71,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-23,False,42,2022,5.0,2.0,202210.0,C-計價
72,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),3.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,C-計價
73,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-01,True,44,2022,5.0,2.0,202211.0,C-計價
74,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),3.0,2022-11-03,True,44,2022,5.0,2.0,202211.0,C-計價
75,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-05,False,44,2022,5.0,2.0,202211.0,C-計價
76,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-11-06,False,44,2022,5.0,2.0,202211.0,C-計價
77,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-10,True,45,2022,5.0,2.0,202211.0,C-計價
78,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-13,False,45,2022,5.0,2.0,202211.0,C-計價
79,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-11-14,True,46,2022,5.0,2.0,202211.0,C-計價
80,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-11-14,True,46,2022,5.0,2.0,202211.0,C-計價
81,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-11-15,True,46,2022,5.0,2.0,202211.0,C-計價
82,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-17,True,46,2022,5.0,2.0,202211.0,C-計價
83,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-17,True,46,2022,5.0,2.0,202211.0,C-計價
84,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-11-17,True,46,2022,5.0,2.0,202211.0,C-計價
85,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-11-28,True,48,2022,5.0,2.0,202211.0,C-計價
86,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-04,False,48,2022,5.0,2.0,202212.0,C-計價
87,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-06,True,49,2022,5.0,2.0,202212.0,C-計價
88,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-07,True,49,2022,5.0,2.0,202212.0,C-計價
89,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-12-10,False,49,2022,5.0,2.0,202212.0,C-計價
90,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-15,True,50,2022,5.0,2.0,202212.0,C-計價
91,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-20,True,51,2022,5.0,2.0,202212.0,C-計價
92,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-22,True,51,2022,5.0,2.0,202212.0,C-計價
93,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),3.0,2022-01-01,False,52,2022,5.0,3.0,202201.0,C-計價
94,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-01-01,False,52,2022,5.0,3.0,202201.0,C-計價
95,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-02,False,52,2022,5.0,3.0,202201.0,C-計價
96,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-27,True,52,2022,5.0,3.0,202212.0,C-計價
97,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-12-29,True,52,2022,5.0,3.0,202212.0,C-計價
