,庫房,料號,品名,數量,週,工作日,帳務日期
3415,DLI1,C08224755,氣管內管PVC,2.0,1,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,2,True,2021-01-08
3416,DLI1,C08224755,氣管內管PVC,1.0,3,True,2021-01-19
3415,DLI1,C08224755,氣管內管PVC,0.0,4,True,2021-01-08
7998,DLI1,C08224755,氣管內管PVC,2.0,5,True,2021-02-02
8000,DLI1,C08224755,氣管內管PVC,2.0,6,False,2021-02-11
8001,DLI1,C08224755,氣管內管PVC,1.0,7,False,2021-02-16
3415,DLI1,C08224755,氣管內管PVC,0.0,8,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,9,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,10,True,2021-01-08
11716,DLI1,C08224755,氣管內管PVC,1.0,11,False,2021-03-20
3415,DLI1,C08224755,氣管內管PVC,0.0,12,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,13,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,14,True,2021-01-08
16002,DLI1,C08224755,氣管內管PVC,4.0,15,False,2021-04-18
3415,DLI1,C08224755,氣管內管PVC,0.0,16,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,17,True,2021-01-08
20513,DLI1,C08224755,氣管內管PVC,2.0,18,True,2021-05-08
3415,DLI1,C08224755,氣管內管PVC,0.0,19,True,2021-01-08
20514,DLI1,C08224755,氣管內管PVC,1.0,20,False,2021-05-23
20515,DLI1,C08224755,氣管內管PVC,1.0,21,True,2021-05-28
25183,DLI1,C08224755,氣管內管PVC,2.0,22,True,2021-06-04
3415,DLI1,C08224755,氣管內管PVC,0.0,23,True,2021-01-08
25186,DLI1,C08224755,氣管內管PVC,4.0,24,False,2021-06-19
3415,DLI1,C08224755,氣管內管PVC,0.0,25,True,2021-01-08
25181,DLI1,C08224755,氣管內管PVC,2.0,26,True,2021-06-30
29873,DLI1,C08224755,氣管內管PVC,2.0,27,True,2021-07-09
3415,DLI1,C08224755,氣管內管PVC,0.0,28,True,2021-01-08
29876,DLI1,C08224755,氣管內管PVC,4.0,29,False,2021-07-25
3415,DLI1,C08224755,氣管內管PVC,0.0,30,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,31,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,32,True,2021-01-08
34542,DLI1,C08224755,氣管內管PVC,1.0,33,True,2021-08-16
34544,DLI1,C08224755,氣管內管PVC,2.0,34,False,2021-08-28
3415,DLI1,C08224755,氣管內管PVC,0.0,35,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,36,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,37,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,38,True,2021-01-08
39100,DLI1,C08224755,氣管內管PVC,2.0,39,True,2021-09-29
3415,DLI1,C08224755,氣管內管PVC,0.0,40,True,2021-01-08
43199,DLI1,C08224755,氣管內管PVC,2.0,41,True,2021-10-13
3415,DLI1,C08224755,氣管內管PVC,0.0,42,True,2021-01-08
43200,DLI1,C08224755,氣管內管PVC,1.0,43,True,2021-10-25
47349,DLI1,C08224755,氣管內管PVC,1.0,44,False,2021-11-07
3415,DLI1,C08224755,氣管內管PVC,0.0,45,True,2021-01-08
3415,DLI1,C08224755,氣管內管PVC,0.0,46,True,2021-01-08
47350,DLI1,C08224755,氣管內管PVC,1.0,47,True,2021-11-25
51322,DLI1,C08224755,氣管內管PVC,2.0,48,True,2021-12-02
51324,DLI1,C08224755,氣管內管PVC,2.0,49,True,2021-12-09
51326,DLI1,C08224755,氣管內管PVC,2.0,50,True,2021-12-16
3415,DLI1,C08224755,氣管內管PVC,0.0,51,True,2021-01-08
51327,DLI1,C08224755,氣管內管PVC,1.0,52,True,2021-12-28
