,料號,紀錄週數
0,A00120102,47
1,A00120059,44
2,A04200020,43
3,K82430329,22
4,F36005006,22
5,U90480016,21
6,C00733218,21
7,F41200000,21
8,B05569084,21
9,D00320301,20
10,V02204118,20
11,B08143445,20
12,T04220215,18
13,A46441986,18
14,C00130227,17
15,I16200040,17
16,A00120033,17
17,C13941807,16
18,C00120184,16
19,B00306050,15
20,C09113003,15
21,C00123185,14
22,C09113011,13
23,B00304056,13
