,料號,紀錄週數
0,A04200020,43
1,C14000004,20
2,T01612024,19
3,C00211067,17
4,C02911226,16
5,C00123169,16
6,A04411370,16
7,T01101024,15
8,A46441986,14
9,D00320301,14
10,B08143445,14
11,T04220215,13
12,B05569084,13
13,U90480016,13
