,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-22,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,4
1,2019-03-12,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,,11
2,2019-03-19,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,12
3,2019-04-09,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,15
4,2019-05-14,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,20
5,2019-08-13,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,33
6,2019-09-10,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,0.0,37
7,2019-10-01,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,,40
8,2019-11-12,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,46
0,2020-03-04,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,,10
1,2020-03-17,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,12
2,2020-03-24,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,13
3,2020-03-31,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,14
4,2020-04-07,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,15
5,2020-04-14,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,16
6,2020-04-28,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,18
7,2020-05-19,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,21
8,2020-05-26,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,22
9,2020-06-09,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,24
10,2020-07-08,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,28
11,2020-08-18,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,34
12,2020-09-08,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,37
13,2020-10-27,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,44
14,2020-11-17,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,47
15,2020-12-01,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,49
16,2020-12-15,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,51
0,2021-01-12,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,2
1,2021-01-26,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,4
2,2021-02-10,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,6
3,2021-04-20,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,16
4,2021-06-15,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,24
5,2021-07-13,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,28
6,2021-08-24,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,34
7,2021-09-14,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,37
8,2021-09-28,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,39
9,2021-11-02,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,44
10,2021-12-16,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,50
