,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
9451,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,29.0,1,False,2022-01-09,,
9467,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,28.0,2,False,2022-01-16,,
9484,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,24.0,3,False,2022-01-23,,
9495,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,20.0,4,True,2022-01-30,,
9497,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,5,False,2022-01-31,,
9432,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,6,False,2022-01-02,202201.0,C-計價
9498,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,7,False,2022-02-19,,
9518,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,26.0,8,False,2022-02-27,,
9546,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,44.0,9,False,2022-03-06,,
9566,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,38.0,10,False,2022-03-13,,
9589,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,31.0,11,False,2022-03-20,,
9612,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,39.0,12,False,2022-03-27,,
9614,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,13,True,2022-04-01,,
9616,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,14,True,2022-04-08,,
9621,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,15,False,2022-04-17,,
9432,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,16,False,2022-01-02,202201.0,C-計價
9625,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,17,False,2022-05-01,,
9628,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,18,False,2022-05-08,,
9634,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,19,False,2022-05-15,,
9636,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,20,False,2022-05-22,,
9642,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,8.0,21,False,2022-05-28,,
9658,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,33.0,22,False,2022-06-05,,
9685,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,63.0,23,False,2022-06-12,,
9733,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,97.0,24,False,2022-06-19,,
9784,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,119.0,25,False,2022-06-26,,
9833,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,94.0,26,False,2022-07-03,,
9865,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,50.0,27,False,2022-07-10,,
9909,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,72.0,28,False,2022-07-17,,
9929,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,36.0,29,False,2022-07-24,,
9946,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,27.0,30,False,2022-07-31,,
9954,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,9.0,31,False,2022-08-07,,
9962,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,11.0,32,False,2022-08-14,,
9986,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,45.0,33,False,2022-08-21,,
10002,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,38.0,34,False,2022-08-28,,
10008,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,8.0,35,False,2022-09-04,,
10019,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,14.0,36,False,2022-09-11,,
10036,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,26.0,37,False,2022-09-18,,
10043,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,9.0,38,False,2022-09-25,,
10054,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,12.0,39,False,2022-10-02,,
10062,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,13.0,40,True,2022-10-08,,
10078,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,25.0,41,False,2022-10-16,,
10092,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,20.0,42,False,2022-10-23,,
10111,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,37.0,43,False,2022-10-30,,
10120,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,12.0,44,False,2022-11-06,,
10128,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,13.0,45,False,2022-11-12,,
10136,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,11.0,46,False,2022-11-20,,
10140,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,47,True,2022-11-24,,
9432,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,48,False,2022-01-02,202201.0,C-計價
10141,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,49,True,2022-12-07,,
10148,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,50,False,2022-12-18,,
10155,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,13.0,51,False,2022-12-25,,
10159,DLN8,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,52,True,2022-12-30,,
