,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
70,DLN5,B04150042,免縫膠布,1.0,2019-06-01,22,False,2019,5.0,2.0
71,DLN5,B04150042,免縫膠布,1.0,2019-06-01,22,False,2019,5.0,2.0
72,DLN5,B04150042,免縫膠布,1.0,2019-06-07,23,False,2019,4.0,3.0
73,DLN5,B04150042,免縫膠布,1.0,2019-06-08,23,False,2019,4.0,3.0
74,DLN5,B04150042,免縫膠布,2.0,2019-06-10,24,True,2019,5.0,2.0
75,DLN5,B04150042,免縫膠布,1.0,2019-06-13,24,True,2019,5.0,2.0
76,DLN5,B04150042,免縫膠布,1.0,2019-06-14,24,True,2019,5.0,2.0
77,DLN5,B04150042,免縫膠布,1.0,2019-06-18,25,True,2019,5.0,2.0
78,DLN5,B04150042,免縫膠布,1.0,2019-06-18,25,True,2019,5.0,2.0
79,DLN5,B04150042,免縫膠布,1.0,2019-06-22,25,False,2019,5.0,2.0
80,DLN5,B04150042,免縫膠布,1.0,2019-06-22,25,False,2019,5.0,2.0
81,DLN5,B04150042,免縫膠布,1.0,2019-06-28,26,True,2019,5.0,2.0
82,DLN5,B04150042,免縫膠布,2.0,2019-07-05,27,True,2019,5.0,2.0
83,DLN5,B04150042,免縫膠布,2.0,2019-07-05,27,True,2019,5.0,2.0
84,DLN5,B04150042,免縫膠布,1.0,2019-07-05,27,True,2019,5.0,2.0
85,DLN5,B04150042,免縫膠布,1.0,2019-07-09,28,True,2019,5.0,2.0
86,DLN5,B04150042,免縫膠布,1.0,2019-07-17,29,True,2019,5.0,2.0
87,DLN5,B04150042,免縫膠布,2.0,2019-07-21,29,False,2019,5.0,2.0
88,DLN5,B04150042,免縫膠布,2.0,2019-07-23,30,True,2019,5.0,2.0
89,DLN5,B04150042,免縫膠布,1.0,2019-07-26,30,True,2019,5.0,2.0
90,DLN5,B04150042,免縫膠布,1.0,2019-07-26,30,True,2019,5.0,2.0
91,DLN5,B04150042,免縫膠布,1.0,2019-07-29,31,True,2019,5.0,2.0
92,DLN5,B04150042,免縫膠布,1.0,2019-08-02,31,True,2019,5.0,2.0
93,DLN5,B04150042,免縫膠布,1.0,2019-08-02,31,True,2019,5.0,2.0
94,DLN5,B04150042,免縫膠布,1.0,2019-08-06,32,True,2019,5.0,2.0
95,DLN5,B04150042,免縫膠布,1.0,2019-08-08,32,True,2019,5.0,2.0
96,DLN5,B04150042,免縫膠布,1.0,2019-08-10,32,False,2019,5.0,2.0
97,DLN5,B04150042,免縫膠布,1.0,2019-08-10,32,False,2019,5.0,2.0
98,DLN5,B04150042,免縫膠布,1.0,2019-08-14,33,True,2019,5.0,2.0
99,DLN5,B04150042,免縫膠布,1.0,2019-08-14,33,True,2019,5.0,2.0
100,DLN5,B04150042,免縫膠布,1.0,2019-08-19,34,True,2019,5.0,2.0
101,DLN5,B04150042,免縫膠布,2.0,2019-08-21,34,True,2019,5.0,2.0
102,DLN5,B04150042,免縫膠布,1.0,2019-08-28,35,True,2019,5.0,2.0
103,DLN5,B04150042,免縫膠布,1.0,2019-08-29,35,True,2019,5.0,2.0
104,DLN5,B04150042,免縫膠布,1.0,2019-08-30,35,True,2019,5.0,2.0
105,DLN5,B04150042,免縫膠布,1.0,2019-09-04,36,True,2019,4.0,3.0
106,DLN5,B04150042,免縫膠布,2.0,2019-09-09,37,True,2019,4.0,3.0
107,DLN5,B04150042,免縫膠布,2.0,2019-09-14,37,False,2019,4.0,3.0
108,DLN5,B04150042,免縫膠布,2.0,2019-09-16,38,True,2019,5.0,2.0
109,DLN5,B04150042,免縫膠布,1.0,2019-09-26,39,True,2019,5.0,2.0
110,DLN5,B04150042,免縫膠布,1.0,2019-09-26,39,True,2019,5.0,2.0
111,DLN5,B04150042,免縫膠布,1.0,2019-09-26,39,True,2019,5.0,2.0
112,DLN5,B04150042,免縫膠布,1.0,2019-10-04,40,False,2019,5.0,2.0
113,DLN5,B04150042,免縫膠布,1.0,2019-10-07,41,False,2019,3.0,4.0
114,DLN5,B04150042,免縫膠布,2.0,2019-10-12,41,True,2019,3.0,4.0
115,DLN5,B04150042,免縫膠布,2.0,2019-10-18,42,True,2019,5.0,2.0
116,DLN5,B04150042,免縫膠布,1.0,2019-10-22,43,True,2019,5.0,2.0
117,DLN5,B04150042,免縫膠布,1.0,2019-10-30,44,True,2019,5.0,2.0
118,DLN5,B04150042,免縫膠布,1.0,2019-10-30,44,True,2019,5.0,2.0
119,DLN5,B04150042,免縫膠布,1.0,2019-11-01,44,True,2019,5.0,2.0
120,DLN5,B04150042,免縫膠布,1.0,2019-11-04,45,True,2019,5.0,2.0
121,DLN5,B04150042,免縫膠布,2.0,2019-11-06,45,True,2019,5.0,2.0
122,DLN5,B04150042,免縫膠布,3.0,2019-11-09,45,False,2019,5.0,2.0
123,DLN5,B04150042,免縫膠布,2.0,2019-11-09,45,False,2019,5.0,2.0
124,DLN5,B04150042,免縫膠布,1.0,2019-11-10,45,False,2019,5.0,2.0
125,DLN5,B04150042,免縫膠布,1.0,2019-11-10,45,False,2019,5.0,2.0
126,DLN5,B04150042,免縫膠布,2.0,2019-11-11,46,True,2019,5.0,2.0
127,DLN5,B04150042,免縫膠布,1.0,2019-11-11,46,True,2019,5.0,2.0
128,DLN5,B04150042,免縫膠布,1.0,2019-11-14,46,True,2019,5.0,2.0
