,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
0,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-01-09,2,True,5.0,2.0,2019
2,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-01-16,3,True,5.0,2.0,2019
5,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-02-03,5,True,5.0,2.0,2019
9,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-02-09,6,False,0.0,7.0,2019
12,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-02-14,7,True,5.0,2.0,2019
14,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-02-18,8,True,5.0,2.0,2019
15,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-01,9,True,3.0,4.0,2019
17,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-03-07,10,True,5.0,2.0,2019
22,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-03-16,11,False,5.0,2.0,2019
31,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,26.0,2019-03-24,12,False,5.0,2.0,2019
36,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,10.0,2019-03-30,13,False,5.0,2.0,2019
37,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-04-07,14,False,3.0,4.0,2019
40,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2019-04-14,15,False,5.0,2.0,2019
47,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,18.0,2019-04-21,16,False,5.0,2.0,2019
52,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2019-04-28,17,True,5.0,2.0,2019
56,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-05-12,19,False,5.0,2.0,2019
60,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-05-17,20,True,5.0,2.0,2019
69,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,11.0,2019-05-26,21,False,5.0,2.0,2019
72,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-06-02,22,False,5.0,2.0,2019
77,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-06-09,23,False,4.0,3.0,2019
82,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-06-12,24,True,5.0,2.0,2019
86,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,12.0,2019-06-23,25,False,5.0,2.0,2019
90,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2019-06-29,26,False,5.0,2.0,2019
93,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-07-04,27,True,5.0,2.0,2019
95,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-07-12,28,True,5.0,2.0,2019
96,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-07-18,29,True,5.0,2.0,2019
100,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2019-07-28,30,False,5.0,2.0,2019
108,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,11.0,2019-08-03,31,False,5.0,2.0,2019
112,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-08-11,32,False,5.0,2.0,2019
