,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
167,DLN5,B00206057,彈性繃帶-非滅菌,690.0,2019-01-06,1,False,3.0,3.0,2019
182,DLN5,B00206057,彈性繃帶-非滅菌,1045.0,2019-01-13,2,False,5.0,2.0,2019
187,DLN5,B00206057,彈性繃帶-非滅菌,785.0,2019-01-20,3,False,5.0,2.0,2019
200,DLN5,B00206057,彈性繃帶-非滅菌,782.0,2019-01-27,4,False,5.0,2.0,2019
208,DLN5,B00206057,彈性繃帶-非滅菌,573.0,2019-02-03,5,True,5.0,2.0,2019
212,DLN5,B00206057,彈性繃帶-非滅菌,943.0,2019-02-09,6,False,0.0,7.0,2019
216,DLN5,B00206057,彈性繃帶-非滅菌,1242.0,2019-02-17,7,False,5.0,2.0,2019
220,DLN5,B00206057,彈性繃帶-非滅菌,1050.0,2019-02-24,8,False,5.0,2.0,2019
231,DLN5,B00206057,彈性繃帶-非滅菌,986.0,2019-03-03,9,False,3.0,4.0,2019
241,DLN5,B00206057,彈性繃帶-非滅菌,1014.0,2019-03-10,10,False,5.0,2.0,2019
259,DLN5,B00206057,彈性繃帶-非滅菌,857.0,2019-03-17,11,False,5.0,2.0,2019
264,DLN5,B00206057,彈性繃帶-非滅菌,1077.0,2019-03-23,12,False,5.0,2.0,2019
268,DLN5,B00206057,彈性繃帶-非滅菌,840.0,2019-03-28,13,True,5.0,2.0,2019
269,DLN5,B00206057,彈性繃帶-非滅菌,605.0,2019-04-07,14,False,3.0,4.0,2019
278,DLN5,B00206057,彈性繃帶-非滅菌,1018.0,2019-04-13,15,False,5.0,2.0,2019
290,DLN5,B00206057,彈性繃帶-非滅菌,949.0,2019-04-21,16,False,5.0,2.0,2019
298,DLN5,B00206057,彈性繃帶-非滅菌,1095.0,2019-04-28,17,True,5.0,2.0,2019
304,DLN5,B00206057,彈性繃帶-非滅菌,791.0,2019-05-05,18,True,4.0,3.0,2019
313,DLN5,B00206057,彈性繃帶-非滅菌,875.0,2019-05-11,19,False,5.0,2.0,2019
321,DLN5,B00206057,彈性繃帶-非滅菌,912.0,2019-05-19,20,False,5.0,2.0,2019
337,DLN5,B00206057,彈性繃帶-非滅菌,803.0,2019-05-26,21,False,5.0,2.0,2019
343,DLN5,B00206057,彈性繃帶-非滅菌,694.0,2019-06-02,22,False,5.0,2.0,2019
345,DLN5,B00206057,彈性繃帶-非滅菌,583.0,2019-06-05,23,True,4.0,3.0,2019
358,DLN5,B00206057,彈性繃帶-非滅菌,784.0,2019-06-16,24,False,5.0,2.0,2019
369,DLN5,B00206057,彈性繃帶-非滅菌,763.0,2019-06-23,25,False,5.0,2.0,2019
384,DLN5,B00206057,彈性繃帶-非滅菌,851.0,2019-06-30,26,False,5.0,2.0,2019
394,DLN5,B00206057,彈性繃帶-非滅菌,849.0,2019-07-07,27,False,5.0,2.0,2019
403,DLN5,B00206057,彈性繃帶-非滅菌,742.0,2019-07-14,28,False,5.0,2.0,2019
