,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
163,DLN5,B03110120,人工薄膜,785.0,2019-01-06,1,False,3.0,3.0,2019
172,DLN5,B03110120,人工薄膜,1182.0,2019-01-13,2,False,5.0,2.0,2019
181,DLN5,B03110120,人工薄膜,879.0,2019-01-20,3,False,5.0,2.0,2019
193,DLN5,B03110120,人工薄膜,884.0,2019-01-27,4,False,5.0,2.0,2019
199,DLN5,B03110120,人工薄膜,640.0,2019-02-03,5,True,5.0,2.0,2019
206,DLN5,B03110120,人工薄膜,1011.0,2019-02-05,6,False,0.0,7.0,2019
208,DLN5,B03110120,人工薄膜,1343.0,2019-02-17,7,False,5.0,2.0,2019
218,DLN5,B03110120,人工薄膜,1171.0,2019-02-24,8,False,5.0,2.0,2019
238,DLN5,B03110120,人工薄膜,1105.0,2019-03-03,9,False,3.0,4.0,2019
254,DLN5,B03110120,人工薄膜,1152.0,2019-03-10,10,False,5.0,2.0,2019
260,DLN5,B03110120,人工薄膜,947.0,2019-03-12,11,True,5.0,2.0,2019
264,DLN5,B03110120,人工薄膜,1201.0,2019-03-23,12,False,5.0,2.0,2019
271,DLN5,B03110120,人工薄膜,930.0,2019-03-31,13,False,5.0,2.0,2019
275,DLN5,B03110120,人工薄膜,681.0,2019-04-03,14,True,3.0,4.0,2019
281,DLN5,B03110120,人工薄膜,1135.0,2019-04-14,15,False,5.0,2.0,2019
292,DLN5,B03110120,人工薄膜,1069.0,2019-04-21,16,False,5.0,2.0,2019
303,DLN5,B03110120,人工薄膜,1215.0,2019-04-28,17,True,5.0,2.0,2019
313,DLN5,B03110120,人工薄膜,908.0,2019-05-04,18,False,4.0,3.0,2019
317,DLN5,B03110120,人工薄膜,982.0,2019-05-11,19,False,5.0,2.0,2019
325,DLN5,B03110120,人工薄膜,1025.0,2019-05-19,20,False,5.0,2.0,2019
331,DLN5,B03110120,人工薄膜,904.0,2019-05-26,21,False,5.0,2.0,2019
332,DLN5,B03110120,人工薄膜,787.0,2019-06-01,22,False,5.0,2.0,2019
339,DLN5,B03110120,人工薄膜,662.0,2019-06-08,23,False,4.0,3.0,2019
347,DLN5,B03110120,人工薄膜,879.0,2019-06-15,24,False,5.0,2.0,2019
358,DLN5,B03110120,人工薄膜,885.0,2019-06-23,25,False,5.0,2.0,2019
370,DLN5,B03110120,人工薄膜,976.0,2019-06-30,26,False,5.0,2.0,2019
381,DLN5,B03110120,人工薄膜,988.0,2019-07-07,27,False,5.0,2.0,2019
385,DLN5,B03110120,人工薄膜,835.0,2019-07-13,28,False,5.0,2.0,2019
390,DLN5,B03110120,人工薄膜,888.0,2019-07-20,29,False,5.0,2.0,2019
395,DLN5,B03110120,人工薄膜,1097.0,2019-07-27,30,False,5.0,2.0,2019
404,DLN5,B03110120,人工薄膜,969.0,2019-08-03,31,False,5.0,2.0,2019
408,DLN5,B03110120,人工薄膜,1061.0,2019-08-07,32,True,5.0,2.0,2019
416,DLN5,B03110120,人工薄膜,1355.0,2019-08-18,33,False,5.0,2.0,2019
423,DLN5,B03110120,人工薄膜,701.0,2019-08-23,34,True,5.0,2.0,2019
429,DLN5,B03110120,人工薄膜,861.0,2019-08-31,35,False,5.0,2.0,2019
439,DLN5,B03110120,人工薄膜,1193.0,2019-09-07,36,False,4.0,3.0,2019
446,DLN5,B03110120,人工薄膜,1020.0,2019-09-15,37,False,4.0,3.0,2019
454,DLN5,B03110120,人工薄膜,1056.0,2019-09-22,38,False,5.0,2.0,2019
461,DLN5,B03110120,人工薄膜,882.0,2019-09-24,39,True,5.0,2.0,2019
469,DLN5,B03110120,人工薄膜,946.0,2019-10-05,40,False,5.0,2.0,2019
476,DLN5,B03110120,人工薄膜,1072.0,2019-10-10,41,True,3.0,4.0,2019
482,DLN5,B03110120,人工薄膜,805.0,2019-10-20,42,False,5.0,2.0,2019
495,DLN5,B03110120,人工薄膜,1089.0,2019-10-27,43,False,5.0,2.0,2019
509,DLN5,B03110120,人工薄膜,961.0,2019-11-03,44,False,5.0,2.0,2019
516,DLN5,B03110120,人工薄膜,821.0,2019-11-09,45,False,5.0,2.0,2019
534,DLN5,B03110120,人工薄膜,1018.0,2019-11-17,46,False,5.0,2.0,2019
547,DLN5,B03110120,人工薄膜,1233.0,2019-11-24,47,False,5.0,2.0,2019
560,DLN5,B03110120,人工薄膜,1247.0,2019-11-29,48,True,5.0,2.0,2019
575,DLN5,B03110120,人工薄膜,1112.0,2019-12-08,49,False,5.0,2.0,2019
587,DLN5,B03110120,人工薄膜,954.0,2019-12-15,50,False,5.0,2.0,2019
599,DLN5,B03110120,人工薄膜,1118.0,2019-12-21,51,False,5.0,2.0,2019
623,DLN5,B03110120,人工薄膜,1135.0,2019-12-29,52,False,5.0,2.0,2019
624,DLN5,B03110120,人工薄膜,524.0,2020-01-02,1,True,2.0,3.0,2020
636,DLN5,B03110120,人工薄膜,746.0,2020-01-12,2,False,5.0,2.0,2020
644,DLN5,B03110120,人工薄膜,680.0,2020-01-19,3,True,5.0,2.0,2020
646,DLN5,B03110120,人工薄膜,224.0,2020-01-20,4,True,3.0,4.0,2020
652,DLN5,B03110120,人工薄膜,189.0,2020-01-31,5,False,2.0,5.0,2020
664,DLN5,B03110120,人工薄膜,1059.0,2020-02-09,6,False,5.0,2.0,2020
675,DLN5,B03110120,人工薄膜,1046.0,2020-02-16,7,False,5.0,2.0,2020
686,DLN5,B03110120,人工薄膜,1006.0,2020-02-23,8,False,5.0,2.0,2020
703,DLN5,B03110120,人工薄膜,846.0,2020-03-01,9,False,4.0,3.0,2020
713,DLN5,B03110120,人工薄膜,1027.0,2020-03-08,10,False,5.0,2.0,2020
724,DLN5,B03110120,人工薄膜,1207.0,2020-03-15,11,False,5.0,2.0,2020
737,DLN5,B03110120,人工薄膜,1272.0,2020-03-22,12,False,5.0,2.0,2020
753,DLN5,B03110120,人工薄膜,1868.0,2020-03-29,13,False,5.0,2.0,2020
766,DLN5,B03110120,人工薄膜,1844.0,2020-04-05,14,False,3.0,4.0,2020
783,DLN5,B03110120,人工薄膜,1891.0,2020-04-12,15,False,5.0,2.0,2020
802,DLN5,B03110120,人工薄膜,1775.0,2020-04-19,16,False,5.0,2.0,2020
814,DLN5,B03110120,人工薄膜,1642.0,2020-04-25,17,False,5.0,2.0,2020
826,DLN5,B03110120,人工薄膜,1499.0,2020-05-03,18,False,4.0,3.0,2020
