,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
203,DLN5,B03106859,人工薄膜,770.0,2019-01-06,1,False,3.0,3.0,2019
279,DLN5,B03106859,人工薄膜,1163.0,2019-01-13,2,False,5.0,2.0,2019
338,DLN5,B03106859,人工薄膜,865.0,2019-01-20,3,False,5.0,2.0,2019
397,DLN5,B03106859,人工薄膜,866.0,2019-01-27,4,False,5.0,2.0,2019
431,DLN5,B03106859,人工薄膜,633.0,2019-02-03,5,True,5.0,2.0,2019
478,DLN5,B03106859,人工薄膜,1001.0,2019-02-10,6,False,0.0,7.0,2019
557,DLN5,B03106859,人工薄膜,1340.0,2019-02-17,7,False,5.0,2.0,2019
623,DLN5,B03106859,人工薄膜,1140.0,2019-02-24,8,False,5.0,2.0,2019
678,DLN5,B03106859,人工薄膜,1074.0,2019-03-03,9,False,3.0,4.0,2019
758,DLN5,B03106859,人工薄膜,1127.0,2019-03-10,10,False,5.0,2.0,2019
822,DLN5,B03106859,人工薄膜,940.0,2019-03-17,11,False,5.0,2.0,2019
906,DLN5,B03106859,人工薄膜,1196.0,2019-03-24,12,False,5.0,2.0,2019
964,DLN5,B03106859,人工薄膜,922.0,2019-03-31,13,False,5.0,2.0,2019
1008,DLN5,B03106859,人工薄膜,674.0,2019-04-07,14,False,3.0,4.0,2019
1084,DLN5,B03106859,人工薄膜,1123.0,2019-04-14,15,False,5.0,2.0,2019
1155,DLN5,B03106859,人工薄膜,1046.0,2019-04-21,16,False,5.0,2.0,2019
1231,DLN5,B03106859,人工薄膜,1194.0,2019-04-28,17,True,5.0,2.0,2019
1294,DLN5,B03106859,人工薄膜,875.0,2019-05-05,18,True,4.0,3.0,2019
1368,DLN5,B03106859,人工薄膜,977.0,2019-05-12,19,False,5.0,2.0,2019
1436,DLN5,B03106859,人工薄膜,1009.0,2019-05-19,20,False,5.0,2.0,2019
1500,DLN5,B03106859,人工薄膜,895.0,2019-05-26,21,False,5.0,2.0,2019
1551,DLN5,B03106859,人工薄膜,785.0,2019-06-02,22,False,5.0,2.0,2019
1601,DLN5,B03106859,人工薄膜,652.0,2019-06-09,23,False,4.0,3.0,2019
1671,DLN5,B03106859,人工薄膜,866.0,2019-06-16,24,False,5.0,2.0,2019
1738,DLN5,B03106859,人工薄膜,859.0,2019-06-23,25,False,5.0,2.0,2019
1804,DLN5,B03106859,人工薄膜,948.0,2019-06-30,26,False,5.0,2.0,2019
1880,DLN5,B03106859,人工薄膜,963.0,2019-07-07,27,False,5.0,2.0,2019
1940,DLN5,B03106859,人工薄膜,828.0,2019-07-14,28,False,5.0,2.0,2019
2010,DLN5,B03106859,人工薄膜,881.0,2019-07-21,29,False,5.0,2.0,2019
2078,DLN5,B03106859,人工薄膜,1089.0,2019-07-28,30,False,5.0,2.0,2019
2135,DLN5,B03106859,人工薄膜,953.0,2019-08-04,31,False,5.0,2.0,2019
2196,DLN5,B03106859,人工薄膜,1054.0,2019-08-11,32,False,5.0,2.0,2019
2269,DLN5,B03106859,人工薄膜,1343.0,2019-08-18,33,False,5.0,2.0,2019
2312,DLN5,B03106859,人工薄膜,692.0,2019-08-25,34,False,5.0,2.0,2019
2365,DLN5,B03106859,人工薄膜,851.0,2019-09-01,35,False,5.0,2.0,2019
2442,DLN5,B03106859,人工薄膜,1174.0,2019-09-08,36,False,4.0,3.0,2019
2500,DLN5,B03106859,人工薄膜,1010.0,2019-09-15,37,False,4.0,3.0,2019
2569,DLN5,B03106859,人工薄膜,1041.0,2019-09-22,38,False,5.0,2.0,2019
2625,DLN5,B03106859,人工薄膜,874.0,2019-09-29,39,True,5.0,2.0,2019
2686,DLN5,B03106859,人工薄膜,934.0,2019-10-06,40,False,5.0,2.0,2019
2753,DLN5,B03106859,人工薄膜,1061.0,2019-10-13,41,False,3.0,4.0,2019
2818,DLN5,B03106859,人工薄膜,798.0,2019-10-20,42,False,5.0,2.0,2019
2885,DLN5,B03106859,人工薄膜,1070.0,2019-10-27,43,False,5.0,2.0,2019
2952,DLN5,B03106859,人工薄膜,934.0,2019-11-03,44,False,5.0,2.0,2019
3007,DLN5,B03106859,人工薄膜,813.0,2019-11-10,45,False,5.0,2.0,2019
3063,DLN5,B03106859,人工薄膜,997.0,2019-11-17,46,False,5.0,2.0,2019
3135,DLN5,B03106859,人工薄膜,1209.0,2019-11-24,47,False,5.0,2.0,2019
3203,DLN5,B03106859,人工薄膜,1226.0,2019-12-01,48,False,5.0,2.0,2019
3277,DLN5,B03106859,人工薄膜,1087.0,2019-12-08,49,False,5.0,2.0,2019
3329,DLN5,B03106859,人工薄膜,932.0,2019-12-15,50,False,5.0,2.0,2019
3402,DLN5,B03106859,人工薄膜,1099.0,2019-12-22,51,False,5.0,2.0,2019
3471,DLN5,B03106859,人工薄膜,1074.0,2019-12-29,52,False,5.0,2.0,2019
3503,DLN5,B03106859,人工薄膜,523.0,2020-01-05,1,False,2.0,3.0,2020
3543,DLN5,B03106859,人工薄膜,730.0,2020-01-12,2,False,5.0,2.0,2020
3596,DLN5,B03106859,人工薄膜,670.0,2020-01-19,3,True,5.0,2.0,2020
