,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
65,DLN5,A00120033,2.5-3cc PVC 注射空針,113.0,2019-01-06,1,False,3.0,3.0,2019
181,DLN5,A00120033,2.5-3cc PVC 注射空針,199.0,2019-01-13,2,False,5.0,2.0,2019
263,DLN5,A00120033,2.5-3cc PVC 注射空針,138.0,2019-01-20,3,False,5.0,2.0,2019
356,DLN5,A00120033,2.5-3cc PVC 注射空針,169.0,2019-01-27,4,False,5.0,2.0,2019
399,DLN5,A00120033,2.5-3cc PVC 注射空針,63.0,2019-02-03,5,True,5.0,2.0,2019
462,DLN5,A00120033,2.5-3cc PVC 注射空針,97.0,2019-02-10,6,False,0.0,7.0,2019
572,DLN5,A00120033,2.5-3cc PVC 注射空針,191.0,2019-02-17,7,False,5.0,2.0,2019
673,DLN5,A00120033,2.5-3cc PVC 注射空針,175.0,2019-02-24,8,False,5.0,2.0,2019
760,DLN5,A00120033,2.5-3cc PVC 注射空針,157.0,2019-03-03,9,False,3.0,4.0,2019
857,DLN5,A00120033,2.5-3cc PVC 注射空針,140.0,2019-03-10,10,False,5.0,2.0,2019
952,DLN5,A00120033,2.5-3cc PVC 注射空針,158.0,2019-03-17,11,False,5.0,2.0,2019
1065,DLN5,A00120033,2.5-3cc PVC 注射空針,185.0,2019-03-24,12,False,5.0,2.0,2019
1159,DLN5,A00120033,2.5-3cc PVC 注射空針,150.0,2019-03-31,13,False,5.0,2.0,2019
1207,DLN5,A00120033,2.5-3cc PVC 注射空針,78.0,2019-04-07,14,False,3.0,4.0,2019
1310,DLN5,A00120033,2.5-3cc PVC 注射空針,191.0,2019-04-14,15,False,5.0,2.0,2019
1423,DLN5,A00120033,2.5-3cc PVC 注射空針,199.0,2019-04-21,16,False,5.0,2.0,2019
1542,DLN5,A00120033,2.5-3cc PVC 注射空針,203.0,2019-04-28,17,True,5.0,2.0,2019
1632,DLN5,A00120033,2.5-3cc PVC 注射空針,149.0,2019-05-05,18,True,4.0,3.0,2019
1733,DLN5,A00120033,2.5-3cc PVC 注射空針,157.0,2019-05-12,19,False,5.0,2.0,2019
1826,DLN5,A00120033,2.5-3cc PVC 注射空針,169.0,2019-05-19,20,False,5.0,2.0,2019
1905,DLN5,A00120033,2.5-3cc PVC 注射空針,140.0,2019-05-26,21,False,5.0,2.0,2019
1975,DLN5,A00120033,2.5-3cc PVC 注射空針,102.0,2019-06-02,22,False,5.0,2.0,2019
2037,DLN5,A00120033,2.5-3cc PVC 注射空針,89.0,2019-06-09,23,False,4.0,3.0,2019
2115,DLN5,A00120033,2.5-3cc PVC 注射空針,128.0,2019-06-16,24,False,5.0,2.0,2019
2197,DLN5,A00120033,2.5-3cc PVC 注射空針,140.0,2019-06-23,25,False,5.0,2.0,2019
2274,DLN5,A00120033,2.5-3cc PVC 注射空針,125.0,2019-06-30,26,False,5.0,2.0,2019
2359,DLN5,A00120033,2.5-3cc PVC 注射空針,141.0,2019-07-07,27,False,5.0,2.0,2019
2456,DLN5,A00120033,2.5-3cc PVC 注射空針,158.0,2019-07-14,28,False,5.0,2.0,2019
2537,DLN5,A00120033,2.5-3cc PVC 注射空針,139.0,2019-07-21,29,False,5.0,2.0,2019
2634,DLN5,A00120033,2.5-3cc PVC 注射空針,155.0,2019-07-28,30,False,5.0,2.0,2019
2716,DLN5,A00120033,2.5-3cc PVC 注射空針,167.0,2019-08-04,31,False,5.0,2.0,2019
2815,DLN5,A00120033,2.5-3cc PVC 注射空針,185.0,2019-08-11,32,False,5.0,2.0,2019
2938,DLN5,A00120033,2.5-3cc PVC 注射空針,219.0,2019-08-18,33,False,5.0,2.0,2019
3001,DLN5,A00120033,2.5-3cc PVC 注射空針,116.0,2019-08-25,34,False,5.0,2.0,2019
3088,DLN5,A00120033,2.5-3cc PVC 注射空針,167.0,2019-09-01,35,False,5.0,2.0,2019
3212,DLN5,A00120033,2.5-3cc PVC 注射空針,242.0,2019-09-08,36,False,4.0,3.0,2019
3312,DLN5,A00120033,2.5-3cc PVC 注射空針,206.0,2019-09-15,37,False,4.0,3.0,2019
3416,DLN5,A00120033,2.5-3cc PVC 注射空針,196.0,2019-09-22,38,False,5.0,2.0,2019
3505,DLN5,A00120033,2.5-3cc PVC 注射空針,154.0,2019-09-29,39,True,5.0,2.0,2019
3595,DLN5,A00120033,2.5-3cc PVC 注射空針,158.0,2019-10-06,40,False,5.0,2.0,2019
3695,DLN5,A00120033,2.5-3cc PVC 注射空針,179.0,2019-10-13,41,False,3.0,4.0,2019
3763,DLN5,A00120033,2.5-3cc PVC 注射空針,106.0,2019-10-20,42,False,5.0,2.0,2019
3877,DLN5,A00120033,2.5-3cc PVC 注射空針,211.0,2019-10-27,43,False,5.0,2.0,2019
3968,DLN5,A00120033,2.5-3cc PVC 注射空針,147.0,2019-11-03,44,False,5.0,2.0,2019
4042,DLN5,A00120033,2.5-3cc PVC 注射空針,119.0,2019-11-10,45,False,5.0,2.0,2019
4131,DLN5,A00120033,2.5-3cc PVC 注射空針,192.0,2019-11-17,46,False,5.0,2.0,2019
4253,DLN5,A00120033,2.5-3cc PVC 注射空針,236.0,2019-11-24,47,False,5.0,2.0,2019
4368,DLN5,A00120033,2.5-3cc PVC 注射空針,225.0,2019-12-01,48,False,5.0,2.0,2019
4477,DLN5,A00120033,2.5-3cc PVC 注射空針,206.0,2019-12-08,49,False,5.0,2.0,2019
4577,DLN5,A00120033,2.5-3cc PVC 注射空針,190.0,2019-12-15,50,False,5.0,2.0,2019
4695,DLN5,A00120033,2.5-3cc PVC 注射空針,187.0,2019-12-22,51,False,5.0,2.0,2019
4794,DLN5,A00120033,2.5-3cc PVC 注射空針,179.0,2019-12-29,52,False,5.0,2.0,2019
4851,DLN5,A00120033,2.5-3cc PVC 注射空針,115.0,2020-01-05,1,False,2.0,3.0,2020
4937,DLN5,A00120033,2.5-3cc PVC 注射空針,161.0,2020-01-12,2,False,5.0,2.0,2020
5020,DLN5,A00120033,2.5-3cc PVC 注射空針,161.0,2020-01-19,3,True,5.0,2.0,2020
5044,DLN5,A00120033,2.5-3cc PVC 注射空針,50.0,2020-01-24,4,False,3.0,4.0,2020
5070,DLN5,A00120033,2.5-3cc PVC 注射空針,51.0,2020-02-02,5,False,2.0,5.0,2020
5188,DLN5,A00120033,2.5-3cc PVC 注射空針,227.0,2020-02-09,6,False,5.0,2.0,2020
5284,DLN5,A00120033,2.5-3cc PVC 注射空針,178.0,2020-02-16,7,False,5.0,2.0,2020
5386,DLN5,A00120033,2.5-3cc PVC 注射空針,193.0,2020-02-23,8,False,5.0,2.0,2020
5460,DLN5,A00120033,2.5-3cc PVC 注射空針,150.0,2020-03-01,9,False,4.0,3.0,2020
5558,DLN5,A00120033,2.5-3cc PVC 注射空針,189.0,2020-03-08,10,False,5.0,2.0,2020
5666,DLN5,A00120033,2.5-3cc PVC 注射空針,223.0,2020-03-15,11,False,5.0,2.0,2020
