,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
213,DLN5,A00120067,5cc 塑膠注射空針,204.0,2019-01-06,1,False,3.0,3.0,2019
309,DLN5,A00120067,5cc 塑膠注射空針,335.0,2019-01-13,2,False,5.0,2.0,2019
389,DLN5,A00120067,5cc 塑膠注射空針,266.0,2019-01-20,3,False,5.0,2.0,2019
474,DLN5,A00120067,5cc 塑膠注射空針,304.0,2019-01-27,4,False,5.0,2.0,2019
537,DLN5,A00120067,5cc 塑膠注射空針,154.0,2019-02-03,5,True,5.0,2.0,2019
586,DLN5,A00120067,5cc 塑膠注射空針,175.0,2019-02-10,6,False,0.0,7.0,2019
677,DLN5,A00120067,5cc 塑膠注射空針,322.0,2019-02-17,7,False,5.0,2.0,2019
763,DLN5,A00120067,5cc 塑膠注射空針,301.0,2019-02-24,8,False,5.0,2.0,2019
849,DLN5,A00120067,5cc 塑膠注射空針,293.0,2019-03-03,9,False,3.0,4.0,2019
951,DLN5,A00120067,5cc 塑膠注射空針,301.0,2019-03-10,10,False,5.0,2.0,2019
1054,DLN5,A00120067,5cc 塑膠注射空針,331.0,2019-03-17,11,False,5.0,2.0,2019
1175,DLN5,A00120067,5cc 塑膠注射空針,374.0,2019-03-24,12,False,5.0,2.0,2019
1253,DLN5,A00120067,5cc 塑膠注射空針,275.0,2019-03-31,13,False,5.0,2.0,2019
1297,DLN5,A00120067,5cc 塑膠注射空針,146.0,2019-04-07,14,False,3.0,4.0,2019
1396,DLN5,A00120067,5cc 塑膠注射空針,331.0,2019-04-14,15,False,5.0,2.0,2019
1480,DLN5,A00120067,5cc 塑膠注射空針,313.0,2019-04-21,16,False,5.0,2.0,2019
1582,DLN5,A00120067,5cc 塑膠注射空針,367.0,2019-04-28,17,True,5.0,2.0,2019
1658,DLN5,A00120067,5cc 塑膠注射空針,252.0,2019-05-05,18,True,4.0,3.0,2019
1755,DLN5,A00120067,5cc 塑膠注射空針,304.0,2019-05-12,19,False,5.0,2.0,2019
1842,DLN5,A00120067,5cc 塑膠注射空針,300.0,2019-05-19,20,False,5.0,2.0,2019
1924,DLN5,A00120067,5cc 塑膠注射空針,274.0,2019-05-26,21,False,5.0,2.0,2019
1996,DLN5,A00120067,5cc 塑膠注射空針,211.0,2019-06-02,22,False,5.0,2.0,2019
2061,DLN5,A00120067,5cc 塑膠注射空針,202.0,2019-06-09,23,False,4.0,3.0,2019
2147,DLN5,A00120067,5cc 塑膠注射空針,252.0,2019-06-16,24,False,5.0,2.0,2019
2236,DLN5,A00120067,5cc 塑膠注射空針,273.0,2019-06-23,25,False,5.0,2.0,2019
2329,DLN5,A00120067,5cc 塑膠注射空針,252.0,2019-06-30,26,False,5.0,2.0,2019
2430,DLN5,A00120067,5cc 塑膠注射空針,284.0,2019-07-07,27,False,5.0,2.0,2019
2508,DLN5,A00120067,5cc 塑膠注射空針,265.0,2019-07-14,28,False,5.0,2.0,2019
2589,DLN5,A00120067,5cc 塑膠注射空針,267.0,2019-07-21,29,False,5.0,2.0,2019
2686,DLN5,A00120067,5cc 塑膠注射空針,308.0,2019-07-28,30,False,5.0,2.0,2019
2760,DLN5,A00120067,5cc 塑膠注射空針,277.0,2019-08-04,31,False,5.0,2.0,2019
2844,DLN5,A00120067,5cc 塑膠注射空針,326.0,2019-08-11,32,False,5.0,2.0,2019
2960,DLN5,A00120067,5cc 塑膠注射空針,409.0,2019-08-18,33,False,5.0,2.0,2019
3020,DLN5,A00120067,5cc 塑膠注射空針,202.0,2019-08-25,34,False,5.0,2.0,2019
3101,DLN5,A00120067,5cc 塑膠注射空針,290.0,2019-09-01,35,False,5.0,2.0,2019
3226,DLN5,A00120067,5cc 塑膠注射空針,444.0,2019-09-08,36,False,4.0,3.0,2019
3324,DLN5,A00120067,5cc 塑膠注射空針,347.0,2019-09-15,37,False,4.0,3.0,2019
3403,DLN5,A00120067,5cc 塑膠注射空針,307.0,2019-09-22,38,False,5.0,2.0,2019
