,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2020-04-20,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,17,,,,,,,,,,,,
1,2020-05-25,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,18.0,18.0,0.0,22,,,,,,,,,,,,
2,2020-08-10,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,33,,,,,,,,,,,,
3,2020-10-19,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,43,,,,,,,,,,,,
4,2020-12-28,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,53,,,,,,,,,,,,
0,2021-03-08,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,10,,,,,,,,,,,,
1,2021-03-15,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,11,,,,,,,,,,,,
2,2021-03-22,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,12,,,,,,,,,,,,
3,2021-04-26,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,17,,,,,,,,,,,,
4,2021-06-07,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,8.0,0.0,0.0,8.0,8.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-07-05,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,8.0,8.0,0.0,27,,,,,,,,,,,,
6,2021-07-29,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,30,,,,,,,,,,,,
7,2021-08-09,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-09-03,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-09-27,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-10-12,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-10-26,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-22,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,47,,,,,,,,,,,,
13,2021-12-13,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
