,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-07,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,2,,,,,,,,,,,,
1,2019-01-21,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,4,,,,,,,,,,,,
2,2019-02-11,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,7,,,,,,,,,,,,
3,2019-02-18,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,8,,,,,,,,,,,,
4,2019-03-11,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,11,,,,,,,,,,,,
5,2019-03-25,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,13,,,,,,,,,,,,
6,2019-04-22,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,17,,,,,,,,,,,,
7,2019-04-29,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,18,,,,,,,,,,,,
8,2019-05-13,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,20,,,,,,,,,,,,
9,2019-06-10,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,24,,,,,,,,,,,,
10,2019-07-01,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,27,,,,,,,,,,,,
11,2019-07-22,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,30,,,,,,,,,,,,
12,2019-08-05,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,32,,,,,,,,,,,,
13,2019-08-12,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,33,,,,,,,,,,,,
14,2019-09-02,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,36,,,,,,,,,,,,
15,2019-09-09,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,37,,,,,,,,,,,,
16,2019-09-16,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,38,,,,,,,,,,,,
17,2019-09-30,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,40,,,,,,,,,,,,
18,2019-10-21,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,43,,,,,,,,,,,,
19,2019-10-28,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,44,,,,,,,,,,,,
20,2019-11-11,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,46,,,,,,,,,,,,
21,2019-12-09,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,50,,,,,,,,,,,,
22,2019-12-23,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,52,,,,,,,,,,,,
23,2019-12-30,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,1,,,,,,,,,,,,
0,2020-01-13,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,3,,,,,,,,,,,,
1,2020-01-20,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,4,,,,,,,,,,,,
2,2020-02-10,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,7,,,,,,,,,,,,
3,2020-03-02,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,10,,,,,,,,,,,,
4,2020-03-09,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,11,,,,,,,,,,,,
5,2020-03-30,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,14,,,,,,,,,,,,
6,2020-04-13,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,16,,,,,,,,,,,,
7,2020-05-04,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,19,,,,,,,,,,,,
8,2020-05-18,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,21,,,,,,,,,,,,
9,2020-05-25,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,22,,,,,,,,,,,,
10,2020-06-29,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,27,,,,,,,,,,,,
11,2020-07-06,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,28,,,,,,,,,,,,
12,2020-07-20,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,30,,,,,,,,,,,,
13,2020-08-10,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,33,,,,,,,,,,,,
14,2020-08-17,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,34,,,,,,,,,,,,
15,2020-08-24,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,35,,,,,,,,,,,,
16,2020-08-31,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,36,,,,,,,,,,,,
17,2020-09-14,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,38,,,,,,,,,,,,
18,2020-09-26,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,-200.0,-200.0,0.0,39,,,,,,,,,,,,
19,2020-09-28,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,40,,,,,,,,,,,,
20,2020-10-05,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,41,,,,,,,,,,,,
21,2020-10-26,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,44,,,,,,,,,,,,
22,2020-11-02,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,45,,,,,,,,,,,,
23,2020-11-09,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,46,,,,,,,,,,,,
24,2020-11-16,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,47,,,,,,,,,,,,
25,2020-12-07,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,50,,,,,,,,,,,,
26,2020-12-21,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,52,,,,,,,,,,,,
27,2020-12-28,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,53,,,,,,,,,,,,
0,2021-01-04,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,1,,,,,,,,,,,,
1,2021-01-11,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,2,,,,,,,,,,,,
2,2021-01-18,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,3,,,,,,,,,,,,
3,2021-02-08,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-03-02,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,9,,,,,,,,,,,,
5,2021-03-22,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,12,,,,,,,,,,,,
6,2021-03-29,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,13,,,,,,,,,,,,
7,2021-04-12,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,15,,,,,,,,,,,,
8,2021-04-20,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,16,,,,,,,,,,,,
9,2021-05-03,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,18,,,,,,,,,,,,
10,2021-05-24,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,21,,,,,,,,,,,,
11,2021-06-07,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-07-05,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,27,,,,,,,,,,,,
13,2021-07-29,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,30,,,,,,,,,,,,
14,2021-08-09,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-08-23,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-08-30,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-09-13,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-09-27,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-10-12,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,200.0,200.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-10-26,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-11-15,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,46,,,,,,,,,,,,
22,2021-12-06,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-12-13,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-12-27,B07109004,酒精棉片,100片/盒60盒/箱,片,T,400.0,0.0,0.0,400.0,400.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
