,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-03-11,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,11,,,,,,,,,,,,
1,2019-04-01,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,14,,,,,,,,,,,,
2,2019-05-27,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,100.0,100.0,0.0,22,,,,,,,,,,,,
3,2019-08-19,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,34,,,,,,,,,,,,
4,2019-09-16,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,38,,,,,,,,,,,,
5,2019-11-11,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,46,,,,,,,,,,,,
0,2020-02-03,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,6,,,,,,,,,,,,
1,2020-04-27,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
2,2020-06-22,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,26,,,,,,,,,,,,
3,2020-08-10,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
4,2020-09-14,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,38,,,,,,,,,,,,
5,2020-11-09,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,46,,,,,,,,,,,,
6,2020-12-28,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,53,,,,,,,,,,,,
0,2021-03-02,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,9,,,,,,,,,,,,
1,2021-04-01,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,13,,,,,,,,,,,,
2,2021-06-07,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-07-29,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,30,,,,,,,,,,,,
4,2021-09-06,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-11-01,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,44,,,,,,,,,,,,
6,2021-12-22,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
