,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-02,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,,1
1,2019-01-08,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,5.0,5.0,0.0,,2
2,2019-01-29,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,6.0,6.0,0.0,,5
3,2019-03-12,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,7.0,7.0,0.0,,11
4,2019-05-28,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,5.0,5.0,0.0,,22
5,2019-10-15,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,5.0,5.0,0.0,,42
6,2019-12-27,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,52
0,2020-03-17,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,3.0,3.0,0.0,,12
1,2020-03-31,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,,14
2,2020-04-14,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,16
3,2020-04-21,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,15.0,15.0,0.0,,17
4,2020-04-28,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,,18
5,2020-08-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,,33
6,2020-11-17,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,47
7,2020-12-22,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,52
0,2021-01-19,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,3
1,2021-02-09,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,6
2,2021-04-20,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,16
3,2021-05-25,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,21
4,2021-06-01,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,22
5,2021-06-08,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,23
6,2021-06-22,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,25
7,2021-08-10,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,32
8,2021-09-07,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,36
9,2021-09-14,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,37
10,2021-10-12,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,,41
11,2021-12-07,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,,49
