,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,2
1,2019-03-26,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,13
2,2019-05-07,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,19
3,2019-06-18,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,25
4,2019-11-19,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,47
5,2019-11-26,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,48
0,2020-05-19,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,21
1,2020-08-04,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,32
2,2020-09-08,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,37
0,2021-04-20,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,16
1,2021-04-27,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,17
2,2021-05-18,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,20
3,2021-05-25,B00215008,網狀彈性繃帶,5# 25Y /盒,盒,T,1.0,0.0,0.0,1.0,1.0,0.0,,21
