,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,2
1,2019-03-26,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,13
2,2019-04-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,14
3,2019-04-09,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,15
4,2019-05-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,20
5,2019-07-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,27
6,2019-08-13,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,33
7,2019-08-27,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,35
8,2019-09-03,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,0.0,36
9,2019-10-09,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,41
10,2019-11-05,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,45
0,2020-01-07,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,2
1,2020-02-25,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,9
2,2020-03-10,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,11
3,2020-03-24,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,13
4,2020-04-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,16
5,2020-04-28,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,18
6,2020-05-05,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,19
7,2020-05-19,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,21
8,2020-06-30,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,27
9,2020-08-11,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,33
10,2020-09-08,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,37
11,2020-09-30,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,40
12,2020-10-20,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,43
13,2020-12-29,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,53
0,2021-02-23,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,8
1,2021-06-04,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,22
2,2021-07-13,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,,28
3,2021-09-22,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,38
4,2021-09-28,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,39
5,2021-11-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,44
6,2021-11-16,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,46
7,2021-12-22,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,51
8,2021-12-28,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,,52
