,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
4,2020-03-10,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,11
5,2020-03-17,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,12
6,2020-03-31,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,14
7,2020-04-07,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,15
8,2020-05-05,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,19
9,2020-05-19,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,21
10,2020-05-26,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,22
11,2020-06-16,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,25
12,2020-06-24,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,26
13,2020-06-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,27
14,2020-07-08,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,28
15,2020-07-14,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,29
16,2020-08-18,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,34
17,2020-08-25,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,35
18,2020-09-08,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,37
19,2020-09-22,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,39
20,2020-09-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,40
21,2020-10-06,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,41
22,2020-10-20,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,43
23,2020-10-27,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,44
24,2020-11-10,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,46
25,2020-11-17,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,47
26,2020-11-24,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,48
27,2020-12-01,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,49
28,2020-12-08,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,50
29,2020-12-22,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,52
30,2020-12-29,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,53
0,2021-01-05,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,1
1,2021-01-19,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,3
2,2021-01-26,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,4
3,2021-02-02,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,5
4,2021-02-09,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,6
5,2021-03-02,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,9
6,2021-03-16,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,11
7,2021-03-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,13
8,2021-04-06,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,14
9,2021-04-20,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,16
10,2021-05-11,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,19
11,2021-05-18,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,20
12,2021-05-25,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,21
13,2021-06-29,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,26
14,2021-07-29,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,30
15,2021-08-05,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,31
16,2021-08-10,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,32
17,2021-08-17,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,33
18,2021-08-31,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,35
19,2021-09-22,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,38
20,2021-09-28,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,39
21,2021-10-12,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,41
22,2021-10-19,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,42
23,2021-10-26,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,43
24,2021-11-02,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,44
25,2021-11-09,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,45
26,2021-11-23,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,47
27,2021-11-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,48
28,2021-12-07,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,49
29,2021-12-16,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,50
30,2021-12-28,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,52
