,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
0,DLN5,J00300505,小腿尿袋,1.0,2021-07-12,True,28,2021,5.0,2.0
1,DLN5,J00300505,小腿尿袋,1.0,2021-07-14,True,28,2021,5.0,2.0
2,DLN5,J00300505,小腿尿袋,1.0,2021-07-19,True,29,2021,5.0,2.0
3,DLN5,J00300505,小腿尿袋,1.0,2021-07-19,True,29,2021,5.0,2.0
4,DLN5,J00300505,小腿尿袋,1.0,2021-07-22,True,29,2021,5.0,2.0
5,DLN5,J00300505,小腿尿袋,1.0,2021-07-24,False,29,2021,5.0,2.0
6,DLN5,J00300505,小腿尿袋,1.0,2021-07-26,True,30,2021,5.0,2.0
7,DLN5,J00300505,小腿尿袋,1.0,2021-07-28,True,30,2021,5.0,2.0
8,DLN5,J00300505,小腿尿袋,1.0,2021-07-30,True,30,2021,5.0,2.0
9,DLN5,J00300505,小腿尿袋,1.0,2021-08-02,True,31,2021,5.0,2.0
10,DLN5,J00300505,小腿尿袋,1.0,2021-08-09,True,32,2021,5.0,2.0
11,DLN5,J00300505,小腿尿袋,1.0,2021-08-13,True,32,2021,5.0,2.0
12,DLN5,J00300505,小腿尿袋,1.0,2021-08-14,False,32,2021,5.0,2.0
13,DLN5,J00300505,小腿尿袋,1.0,2021-08-15,False,32,2021,5.0,2.0
14,DLN5,J00300505,小腿尿袋,1.0,2021-08-16,True,33,2021,5.0,2.0
15,DLN5,J00300505,小腿尿袋,1.0,2021-08-23,True,34,2021,5.0,2.0
16,DLN5,J00300505,小腿尿袋,1.0,2021-08-31,True,35,2021,4.0,3.0
17,DLN5,J00300505,小腿尿袋,1.0,2021-09-03,True,35,2021,4.0,3.0
18,DLN5,J00300505,小腿尿袋,1.0,2021-09-05,False,35,2021,4.0,3.0
19,DLN5,J00300505,小腿尿袋,1.0,2021-09-06,True,36,2021,5.0,2.0
20,DLN5,J00300505,小腿尿袋,1.0,2021-09-10,True,36,2021,5.0,2.0
21,DLN5,J00300505,小腿尿袋,1.0,2021-09-11,False,36,2021,5.0,2.0
22,DLN5,J00300505,小腿尿袋,1.0,2021-09-11,False,36,2021,5.0,2.0
23,DLN5,J00300505,小腿尿袋,1.0,2021-09-11,False,36,2021,5.0,2.0
24,DLN5,J00300505,小腿尿袋,1.0,2021-09-13,True,37,2021,5.0,2.0
25,DLN5,J00300505,小腿尿袋,1.0,2021-09-13,True,37,2021,5.0,2.0
26,DLN5,J00300505,小腿尿袋,1.0,2021-09-14,True,37,2021,5.0,2.0
27,DLN5,J00300505,小腿尿袋,1.0,2021-09-17,True,37,2021,5.0,2.0
28,DLN5,J00300505,小腿尿袋,1.0,2021-09-24,True,38,2021,3.0,4.0
29,DLN5,J00300505,小腿尿袋,1.0,2021-09-24,True,38,2021,3.0,4.0
30,DLN5,J00300505,小腿尿袋,1.0,2021-09-25,False,38,2021,3.0,4.0
31,DLN5,J00300505,小腿尿袋,1.0,2021-09-27,True,39,2021,5.0,2.0
32,DLN5,J00300505,小腿尿袋,1.0,2021-09-28,True,39,2021,5.0,2.0
33,DLN5,J00300505,小腿尿袋,1.0,2021-09-30,True,39,2021,5.0,2.0
34,DLN5,J00300505,小腿尿袋,1.0,2021-09-30,True,39,2021,5.0,2.0
35,DLN5,J00300505,小腿尿袋,1.0,2021-09-30,True,39,2021,5.0,2.0
36,DLN5,J00300505,小腿尿袋,2.0,2021-10-01,False,39,2021,5.0,2.0
37,DLN5,J00300505,小腿尿袋,1.0,2021-10-05,False,40,2021,5.0,2.0
38,DLN5,J00300505,小腿尿袋,1.0,2021-10-06,False,40,2021,5.0,2.0
39,DLN5,J00300505,小腿尿袋,1.0,2021-10-11,True,41,2021,4.0,3.0
40,DLN5,J00300505,小腿尿袋,2.0,2021-10-14,True,41,2021,4.0,3.0
41,DLN5,J00300505,小腿尿袋,1.0,2021-10-16,False,41,2021,4.0,3.0
42,DLN5,J00300505,小腿尿袋,1.0,2021-10-28,True,43,2021,5.0,2.0
43,DLN5,J00300505,小腿尿袋,1.0,2021-10-30,False,43,2021,5.0,2.0
44,DLN5,J00300505,小腿尿袋,1.0,2021-10-30,False,43,2021,5.0,2.0
45,DLN5,J00300505,小腿尿袋,1.0,2021-11-02,True,44,2021,5.0,2.0
46,DLN5,J00300505,小腿尿袋,2.0,2021-11-08,True,45,2021,5.0,2.0
47,DLN5,J00300505,小腿尿袋,1.0,2021-11-08,True,45,2021,5.0,2.0
48,DLN5,J00300505,小腿尿袋,1.0,2021-11-08,True,45,2021,5.0,2.0
49,DLN5,J00300505,小腿尿袋,1.0,2021-11-09,True,45,2021,5.0,2.0
50,DLN5,J00300505,小腿尿袋,1.0,2021-12-04,False,48,2021,5.0,2.0
51,DLN5,J00300505,小腿尿袋,1.0,2021-12-14,True,50,2021,5.0,2.0
52,DLN5,J00300505,小腿尿袋,1.0,2021-12-16,True,50,2021,5.0,2.0
53,DLN5,J00300505,小腿尿袋,1.0,2021-12-20,True,51,2021,5.0,2.0
54,DLN5,J00300505,小腿尿袋,1.0,2021-12-24,True,51,2021,5.0,2.0
55,DLN5,J00300505,小腿尿袋,1.0,2021-12-28,True,52,2021,4.0,2.0
56,DLN5,J00300505,小腿尿袋,1.0,2021-12-30,True,52,2021,4.0,2.0
57,DLN5,J00300505,小腿尿袋,1.0,2022/1/3,False,1,2022,5.0,2.0
58,DLN5,J00300505,小腿尿袋,1.0,2022/1/4,True,1,2022,5.0,2.0
59,DLN5,J00300505,小腿尿袋,1.0,2022/1/5,True,1,2022,5.0,2.0
60,DLN5,J00300505,小腿尿袋,1.0,2022/1/6,True,1,2022,5.0,2.0
61,DLN5,J00300505,小腿尿袋,1.0,2022/1/7,True,1,2022,5.0,2.0
62,DLN5,J00300505,小腿尿袋,1.0,2022/1/10,True,2,2022,5.0,2.0
