"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"18","1000.7","...","1002.4","2021-06-18 09:01","998.6","2021-06-18 16:04","30.0","33.7","2021-06-18 12:48","26.4","2021-06-18 05:23","...","70","53","2021-06-18 14:19","2.3","203","8.4","212","2021-06-18 16:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","998.8","...","1000.6","2021-06-19 00:01","997.0","2021-06-19 16:07","28.6","31.3","2021-06-19 16:16","25.0","2021-06-19 10:42","...","77","66","2021-06-19 09:10","2.5","165","9.9","222","2021-06-19 16:40","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","997.2","...","998.7","2021-06-20 09:07","995.4","2021-06-20 17:17","27.8","31.1","2021-06-20 15:57","24.4","2021-06-20 09:26","...","83","66","2021-06-20 15:47","2.0","185","8.0","202","2021-06-20 14:59","46.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","997.6","...","999.8","2021-06-21 23:18","995.8","2021-06-21 02:11","26.1","29.0","2021-06-21 17:34","24.2","2021-06-21 09:12","...","92","74","2021-06-21 17:29","1.9","50","9.5","229","2021-06-21 15:39","102.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","999.0","...","1000.4","2021-06-22 22:21","996.5","2021-06-22 02:20","25.5","28.9","2021-06-22 10:36","23.6","2021-06-22 16:15","...","93","75","2021-06-22 10:37","2.3","207","9.8","245","2021-06-22 13:15","46.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1000.2","...","1002.0","2021-06-23 22:39","998.4","2021-06-23 03:29","26.2","28.3","2021-06-23 11:40","24.2","2021-06-23 05:04","...","87","65","2021-06-23 11:39","1.1","74","12.4","217","2021-06-23 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1000.4","...","1002.1","2021-06-24 23:02","998.7","2021-06-24 14:23","27.3","31.5","2021-06-24 12:28","24.1","2021-06-24 03:50","...","80","58","2021-06-24 12:29","1.9","201","10.7","249","2021-06-24 15:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1000.3","...","1002.0","2021-06-25 22:38","998.6","2021-06-25 16:12","27.6","31.0","2021-06-25 16:06","24.5","2021-06-25 02:40","...","76","60","2021-06-25 15:02","2.1","198","10.8","212","2021-06-25 16:16","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1002.0","...","1003.5","2021-06-26 22:48","1000.4","2021-06-26 03:19","28.0","31.1","2021-06-26 15:46","24.6","2021-06-26 03:33","...","75","58","2021-06-26 15:14","2.6","198","8.3","220","2021-06-26 18:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1001.0","...","1003.0","2021-06-27 00:01","998.9","2021-06-27 16:08","27.7","30.5","2021-06-27 15:52","25.4","2021-06-27 12:12","...","80","65","2021-06-27 09:53","2.1","171","8.2","210","2021-06-27 16:06","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1000.0","...","1001.2","2021-06-28 08:49","998.6","2021-06-28 15:26","27.2","31.0","2021-06-28 15:12","24.0","2021-06-28 05:11","...","84","63","2021-06-28 15:12","2.3","172","8.7","258","2021-06-28 16:09","31.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1000.8","...","1002.0","2021-06-29 22:26","999.9","2021-06-29 03:34","27.4","30.9","2021-06-29 15:52","24.3","2021-06-29 11:56","...","81","62","2021-06-29 15:52","2.3","191","12.8","201","2021-06-29 16:17","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1001.3","...","1002.6","2021-06-30 10:54","999.9","2021-06-30 17:07","28.7","32.2","2021-06-30 15:22","24.8","2021-06-30 05:10","...","76","62","2021-06-30 15:45","2.3","107","9.7","212","2021-06-30 12:16","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
