"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","992.7","...","994.8","2021-08-01 00:06","990.7","2021-08-01 16:09","25.1","28.4","2021-08-01 16:04","23.9","2021-08-01 13:46","...","97","80","2021-08-01 16:02","1.6","75","7.1","200","2021-08-01 04:17","96.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","992.1","...","993.4","2021-08-02 21:53","990.6","2021-08-02 16:16","25.5","27.3","2021-08-02 18:31","24.1","2021-08-02 12:42","...","97","85","2021-08-02 18:31","1.3","69","7.1","293","2021-08-02 08:43","109.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","992.7","...","994.3","2021-08-03 22:05","991.0","2021-08-03 14:53","27.1","32.3","2021-08-03 13:03","24.6","2021-08-03 00:12","...","89","63","2021-08-03 12:43","1.7","111","9.2","180","2021-08-03 13:48","32.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","993.1","...","994.5","2021-08-04 09:49","990.9","2021-08-04 18:02","28.3","32.4","2021-08-04 11:22","25.0","2021-08-04 05:42","...","79","58","2021-08-04 14:48","2.1","192","11.3","206","2021-08-04 15:40","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","992.5","...","993.8","2021-08-05 09:26","991.2","2021-08-05 04:37","26.8","29.6","2021-08-05 20:21","24.1","2021-08-05 07:07","...","86","61","2021-08-05 20:21","2.1","171","9.5","217","2021-08-05 22:04","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","991.0","...","992.8","2021-08-06 00:01","989.3","2021-08-06 16:20","26.6","29.0","2021-08-06 01:17","24.4","2021-08-06 05:43","...","91","66","2021-08-06 01:15","4.0","185","13.6","178","2021-08-06 13:26","86.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","993.7","...","998.1","2021-08-07 22:44","988.6","2021-08-07 03:36","26.4","28.4","2021-08-07 13:39","24.9","2021-08-07 06:43","...","99","86","2021-08-07 13:39","2.6","186","15.7","225","2021-08-07 02:17","65.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","999.0","...","1001.3","2021-08-08 21:43","996.9","2021-08-08 02:27","27.8","30.8","2021-08-08 14:30","25.5","2021-08-08 01:09","...","86","72","2021-08-08 14:23","2.6","110","9.8","219","2021-08-08 16:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.2","...","1002.6","2021-08-09 11:31","999.3","2021-08-09 18:37","26.8","30.3","2021-08-09 16:51","24.9","2021-08-09 12:02","...","91","70","2021-08-09 16:51","1.2","96","7.5","216","2021-08-09 10:59","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1001.4","...","1003.2","2021-08-10 23:53","1000.1","2021-08-10 05:27","27.1","33.2","2021-08-10 13:13","24.4","2021-08-10 22:17","...","84","56","2021-08-10 12:19","1.6","70","10.4","245","2021-08-10 13:41","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.3","...","1005.0","2021-08-11 21:38","1001.5","2021-08-11 15:06","27.6","32.7","2021-08-11 12:52","23.7","2021-08-11 06:20","...","82","60","2021-08-11 11:47","1.3","57","8.2","256","2021-08-11 15:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
