"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.8","...","1008.2","2020-05-01 09:02","1003.7","2020-05-01 16:46","26.4","31.0","2020-05-01 14:15","21.8","2020-05-01 05:41","...","62","25","2020-05-01 16:20","1.1","8","6.6","312","2020-05-01 13:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1003.2","...","1005.3","2020-05-02 07:40","1001.3","2020-05-02 17:02","27.1","31.6","2020-05-02 11:42","23.0","2020-05-02 03:46","...","68","52","2020-05-02 11:42","1.1","9","8.1","257","2020-05-02 11:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1002.3","...","1004.2","2020-05-03 22:53","1000.4","2020-05-03 16:47","27.5","31.1","2020-05-03 14:53","24.4","2020-05-03 04:19","...","83","62","2020-05-03 16:21","1.7","100","7.9","213","2020-05-03 10:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1003.7","...","1005.1","2020-05-04 08:19","1002.4","2020-05-04 16:29","27.8","32.6","2020-05-04 13:08","24.0","2020-05-04 05:22","...","80","53","2020-05-04 13:54","1.5","241","7.3","256","2020-05-04 15:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1002.6","...","1004.4","2020-05-05 00:21","1000.8","2020-05-05 17:52","28.3","33.0","2020-05-05 11:57","24.8","2020-05-05 05:53","...","77","59","2020-05-05 11:28","2.1","206","10.0","267","2020-05-05 14:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1002.8","...","...","...","...","...","28.8","...","...","...","...","...","73","...","...","1.7","233","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1003.4","...","1004.7","2020-05-07 10:05","1001.9","2020-05-07 15:59","29.2","33.0","2020-05-07 13:17","25.5","2020-05-07 05:18","...","72","53","2020-05-07 15:19","1.5","266","7.2","263","2020-05-07 14:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.0","...","...","...","...","...","29.3","...","...","...","...","...","76","...","...","1.5","213","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1002.8","...","1004.2","2020-05-09 10:10","1000.9","2020-05-09 17:49","29.1","32.9","2020-05-09 14:58","25.2","2020-05-09 04:42","...","77","60","2020-05-09 14:58","1.8","210","8.2","261","2020-05-09 15:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1002.9","...","1004.8","2020-05-10 20:36","1000.1","2020-05-10 15:16","29.0","34.0","2020-05-10 12:35","25.3","2020-05-10 04:22","...","80","55","2020-05-10 11:42","2.0","254","9.4","256","2020-05-10 17:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.2","...","1005.0","2020-05-11 08:30","1001.1","2020-05-11 16:23","28.3","32.7","2020-05-11 15:11","25.9","2020-05-11 23:46","...","85","64","2020-05-11 15:11","1.2","2","6.6","4","2020-05-11 13:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1003.8","...","1005.1","2020-05-12 22:25","1002.3","2020-05-12 02:53","25.9","28.4","2020-05-12 11:07","24.2","2020-05-12 23:49","...","91","78","2020-05-12 11:08","1.5","324","7.1","315","2020-05-12 15:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.3","...","1006.8","2020-05-13 22:20","1003.5","2020-05-13 14:57","27.3","32.3","2020-05-13 14:48","23.0","2020-05-13 05:13","...","80","56","2020-05-13 15:33","1.3","158","6.8","1","2020-05-13 16:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1005.0","...","1006.8","2020-05-14 08:45","1003.1","2020-05-14 17:28","27.7","32.1","2020-05-14 13:11","23.9","2020-05-14 05:25","...","76","52","2020-05-14 13:12","1.3","299","7.4","274","2020-05-14 13:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1002.4","...","1004.0","2020-05-16 00:00","1001.0","2020-05-15 15:58","28.5","33.1","2020-05-15 11:35","24.0","2020-05-15 04:57","...","78","53","2020-05-15 11:35","1.2","285","7.4","347","2020-05-15 12:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1001.8","...","1002.8","2020-05-16 08:11","1000.5","2020-05-16 13:41","26.6","33.6","2020-05-16 11:18","21.9","2020-05-16 15:34","...","89","58","2020-05-16 09:18","1.4","6","9.5","337","2020-05-16 12:36","54.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","998.7","...","1001.0","2020-05-18 00:00","995.7","2020-05-17 16:05","27.6","32.2","2020-05-17 14:25","22.7","2020-05-17 03:40","...","79","58","2020-05-17 15:33","1.6","215","8.2","16","2020-05-17 12:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","998.5","...","1000.2","2020-05-18 22:45","996.4","2020-05-18 03:36","26.8","30.8","2020-05-18 12:31","24.2","2020-05-18 23:54","...","90","66","2020-05-18 12:44","1.5","197","8.6","251","2020-05-18 12:36","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1000.4","...","1002.1","2020-05-19 09:07","998.2","2020-05-19 03:16","23.7","26.6","2020-05-19 13:36","21.9","2020-05-19 17:05","...","96","75","2020-05-19 03:28","1.0","21","6.4","177","2020-05-19 10:10","39.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.9","...","1003.3","2020-05-20 11:14","1000.6","2020-05-20 15:02","25.2","29.4","2020-05-20 13:22","22.2","2020-05-20 04:21","...","91","63","2020-05-20 10:10","1.1","20","7.5","265","2020-05-20 15:46","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1000.1","...","1002.0","2020-05-21 00:02","998.5","2020-05-21 23:59","25.3","28.9","2020-05-21 11:01","23.1","2020-05-21 23:23","...","92","72","2020-05-21 08:58","1.6","56","10.5","222","2020-05-21 15:39","17.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","997.4","...","998.5","2020-05-23 00:00","995.9","2020-05-22 15:01","25.2","27.2","2020-05-22 07:54","23.4","2020-05-23 00:00","...","97","86","2020-05-22 07:52","2.5","183","11.8","185","2020-05-22 03:09","46.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
