"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.9","...","1006.4","2020-06-01 07:26","1002.5","2020-06-01 16:39","29.3","33.1","2020-06-01 12:10","25.6","2020-06-01 04:52","...","79","55","2020-06-01 15:33","1.3","136","8.2","252","2020-06-01 12:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1003.8","...","1005.9","2020-06-02 00:01","1001.8","2020-06-02 16:46","29.1","33.2","2020-06-02 12:01","25.8","2020-06-02 03:32","...","80","54","2020-06-02 11:42","1.5","254","8.1","280","2020-06-02 13:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1003.1","...","1004.9","2020-06-03 08:25","1000.7","2020-06-03 16:50","29.1","32.9","2020-06-03 15:10","24.8","2020-06-03 05:48","...","76","54","2020-06-03 15:03","1.6","225","8.4","222","2020-06-03 13:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1002.7","...","1004.4","2020-06-04 09:26","1001.2","2020-06-04 15:34","29.5","34.1","2020-06-04 13:25","25.4","2020-06-04 04:37","...","72","49","2020-06-04 12:45","1.7","119","7.7","215","2020-06-04 14:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1002.2","...","1003.8","2020-06-05 22:03","1000.1","2020-06-05 16:50","29.4","33.5","2020-06-05 11:36","25.3","2020-06-05 05:30","...","75","49","2020-06-05 11:54","2.3","116","11.5","213","2020-06-05 12:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1001.5","...","1002.9","2020-06-06 23:39","1000.2","2020-06-06 04:49","28.4","33.3","2020-06-06 11:26","24.1","2020-06-06 18:21","...","84","54","2020-06-06 11:33","2.1","207","12.1","222","2020-06-06 13:01","17.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1001.6","...","1002.8","2020-06-07 18:37","1000.4","2020-06-07 14:12","27.2","32.2","2020-06-07 10:29","23.6","2020-06-07 17:50","...","84","55","2020-06-07 08:47","1.5","60","10.1","257","2020-06-07 17:39","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1002.5","...","1004.8","2020-06-08 17:55","1000.0","2020-06-08 04:10","25.6","29.8","2020-06-08 11:45","23.4","2020-06-08 15:13","...","89","66","2020-06-08 11:24","0.9","118","10.3","256","2020-06-08 14:28","34.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1003.5","...","1004.8","2020-06-09 22:06","1002.0","2020-06-09 03:26","26.7","31.0","2020-06-09 13:09","23.4","2020-06-09 01:06","...","88","60","2020-06-09 12:23","0.8","58","6.8","260","2020-06-09 16:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1003.2","...","1004.8","2020-06-10 09:06","1001.5","2020-06-10 16:23","28.5","33.2","2020-06-10 14:07","24.0","2020-06-10 04:05","...","77","59","2020-06-10 14:08","1.3","209","7.0","261","2020-06-10 12:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1001.7","...","1003.4","2020-06-11 00:04","999.4","2020-06-11 16:46","29.0","32.6","2020-06-11 13:01","25.2","2020-06-11 05:25","...","80","63","2020-06-11 13:01","1.0","208","4.9","282","2020-06-11 09:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","999.9","...","1001.3","2020-06-12 08:47","997.9","2020-06-12 16:29","29.2","32.9","2020-06-12 11:36","26.2","2020-06-12 05:24","...","84","67","2020-06-12 11:38","1.7","339","7.5","343","2020-06-12 13:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1001.3","...","1004.9","2020-06-13 22:14","998.7","2020-06-13 01:38","28.2","33.6","2020-06-13 12:53","26.2","2020-06-13 04:23","...","91","65","2020-06-13 12:54","0.9","43","6.0","188","2020-06-13 14:41","17.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1005.0","...","1007.8","2020-06-14 23:54","1003.2","2020-06-14 03:54","29.0","34.1","2020-06-14 12:30","25.3","2020-06-14 03:39","...","82","56","2020-06-14 12:30","1.3","136","11.6","187","2020-06-14 15:21","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1005.9","...","...","...","...","...","29.5","...","...","...","...","...","75","...","...","1.5","208","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1003.5","...","1005.4","2020-06-16 00:13","1001.6","2020-06-16 15:54","29.5","33.6","2020-06-16 12:52","25.2","2020-06-16 03:35","...","73","57","2020-06-16 13:19","1.5","211","8.1","286","2020-06-16 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1002.5","...","1003.6","2020-06-17 22:34","1001.3","2020-06-17 15:21","29.5","33.9","2020-06-17 14:36","24.6","2020-06-17 04:18","...","72","48","2020-06-17 15:06","1.7","213","8.6","251","2020-06-17 12:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1002.5","...","...","...","...","...","29.7","...","...","...","...","...","74","...","...","1.6","124","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1002.9","...","1004.0","2020-06-19 10:01","1001.6","2020-06-19 17:28","30.0","33.9","2020-06-19 14:18","25.2","2020-06-19 03:50","...","72","53","2020-06-19 10:41","1.7","258","7.4","264","2020-06-19 14:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1002.2","...","...","...","...","...","29.9","...","...","...","...","...","73","...","...","1.9","101","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1000.4","...","1002.1","2020-06-21 10:18","998.7","2020-06-21 16:24","29.6","33.3","2020-06-21 15:26","25.4","2020-06-21 05:46","...","73","51","2020-06-21 15:52","2.0","216","10.4","265","2020-06-21 09:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
