"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.9","...","1007.3","2021-05-01 09:23","1004.3","2021-05-01 02:36","24.8","29.7","2021-05-01 13:20","21.1","2021-05-01 05:24","...","69","46","2021-05-01 12:53","1.2","118","6.1","277","2021-05-01 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1007.6","...","1009.4","2021-05-02 10:02","1006.0","2021-05-02 01:47","24.9","30.4","2021-05-02 12:54","20.3","2021-05-02 04:15","...","75","46","2021-05-02 11:44","1.2","79","7.2","337","2021-05-02 15:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.0","...","1009.0","2021-05-03 08:09","1005.1","2021-05-03 15:48","24.9","27.8","2021-05-03 13:27","23.2","2021-05-03 23:58","...","81","53","2021-05-03 12:52","1.3","9","4.7","340","2021-05-03 15:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.0","...","1006.7","2021-05-04 07:08","1002.3","2021-05-04 16:27","27.3","32.0","2021-05-04 16:22","22.7","2021-05-04 03:39","...","73","53","2021-05-04 17:10","1.1","45","5.9","290","2021-05-04 12:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.6","...","1008.9","2021-05-05 22:23","1004.8","2021-05-05 02:43","25.6","30.5","2021-05-05 12:05","21.1","2021-05-05 23:57","...","76","59","2021-05-05 11:43","1.5","29","8.3","278","2021-05-05 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.3","...","1009.9","2021-05-06 08:14","1006.6","2021-05-06 16:11","25.1","30.0","2021-05-06 14:28","19.9","2021-05-06 03:25","...","73","58","2021-05-06 11:01","1.2","301","6.1","296","2021-05-06 12:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.2","...","1008.7","2021-05-07 09:01","1003.6","2021-05-07 16:59","27.2","32.0","2021-05-07 12:41","23.4","2021-05-07 03:09","...","74","53","2021-05-07 12:21","1.2","253","5.8","259","2021-05-07 11:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.5","...","1005.3","2021-05-08 07:10","1001.7","2021-05-08 16:03","27.7","32.8","2021-05-08 13:20","24.0","2021-05-08 03:16","...","76","52","2021-05-08 11:10","1.6","8","9.1","252","2021-05-08 14:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1003.1","...","...","...","...","...","27.6","...","...","...","...","...","73","...","...","1.4","266","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
