"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.0","...","1008.9","2020-11-01 09:09","1005.1","2020-11-01 14:42","24.4","28.9","2020-11-01 13:49","20.8","2020-11-01 02:59","...","73","49","2020-11-01 13:24","0.9","8","5.4","274","2020-11-01 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1005.7","...","1007.2","2020-11-02 09:19","1003.4","2020-11-02 14:34","24.2","29.6","2020-11-02 12:31","19.9","2020-11-02 06:05","...","74","48","2020-11-02 12:38","1.4","8","8.3","2","2020-11-02 15:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.4","...","1008.9","2020-11-03 09:05","1004.9","2020-11-03 14:41","23.2","28.5","2020-11-03 13:35","20.7","2020-11-03 23:41","...","67","44","2020-11-03 15:09","1.9","2","8.4","4","2020-11-03 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1008.6","...","1010.1","2020-11-04 21:30","1006.5","2020-11-04 15:06","22.8","28.1","2020-11-04 14:18","19.6","2020-11-04 06:23","...","61","47","2020-11-04 14:51","1.1","331","6.7","346","2020-11-04 15:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1008.5","...","1010.6","2020-11-05 09:31","1006.5","2020-11-05 15:19","23.6","29.1","2020-11-05 14:01","19.9","2020-11-05 06:20","...","69","46","2020-11-05 13:13","0.9","322","6.7","336","2020-11-05 15:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.5","...","...","...","...","...","23.9","...","...","...","...","...","89","...","...","0.9","218","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1007.3","...","1009.4","2020-11-07 19:40","1004.1","2020-11-07 00:07","24.4","27.5","2020-11-07 12:30","22.0","2020-11-07 23:56","...","95","74","2020-11-07 12:31","2.1","5","7.6","210","2020-11-07 02:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1008.9","...","1011.2","2020-11-08 09:10","1007.7","2020-11-08 15:49","21.5","24.4","2020-11-08 14:42","19.3","2020-11-08 23:56","...","85","68","2020-11-08 14:42","2.4","9","7.3","16","2020-11-08 03:26","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1009.1","...","1010.4","2020-11-09 09:16","1007.2","2020-11-09 03:51","20.5","23.2","2020-11-09 12:31","18.5","2020-11-09 23:52","...","84","70","2020-11-09 10:23","1.0","1","4.5","14","2020-11-09 21:24","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1010.8","...","1012.1","2020-11-10 09:22","1008.9","2020-11-10 00:31","20.1","22.1","2020-11-10 13:51","18.6","2020-11-11 00:00","...","89","80","2020-11-10 02:13","0.7","3","4.7","19","2020-11-10 00:13","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1011.1","...","1012.8","2020-11-11 09:26","1009.4","2020-11-11 14:14","21.9","28.3","2020-11-11 13:08","17.8","2020-11-11 05:44","...","75","50","2020-11-11 13:38","1.1","345","6.4","348","2020-11-11 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1009.1","...","1011.4","2020-11-12 00:01","1007.2","2020-11-12 15:55","22.6","27.8","2020-11-12 13:43","17.9","2020-11-12 06:08","...","77","57","2020-11-12 13:44","1.1","21","5.2","346","2020-11-12 16:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1008.3","...","...","...","...","...","22.7","...","...","...","...","...","88","...","...","1.9","8","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1009.7","...","1011.8","2020-11-14 21:12","1006.9","2020-11-14 02:40","22.4","25.3","2020-11-14 12:29","21.0","2020-11-14 23:09","...","95","79","2020-11-14 12:39","0.5","23","3.4","291","2020-11-14 18:41","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1010.8","...","1012.4","2020-11-15 09:46","1009.5","2020-11-15 16:16","23.3","27.7","2020-11-15 14:44","20.0","2020-11-15 03:40","...","86","67","2020-11-15 14:56","0.8","117","4.4","271","2020-11-15 12:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.3","...","1011.3","2020-11-16 08:58","1007.4","2020-11-16 15:20","24.3","28.8","2020-11-16 12:39","22.1","2020-11-16 06:03","...","88","63","2020-11-16 12:13","0.7","316","4.9","335","2020-11-16 16:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1007.9","...","1009.4","2020-11-17 08:44","1006.5","2020-11-17 15:22","24.9","30.4","2020-11-17 12:57","21.6","2020-11-17 06:25","...","81","49","2020-11-17 13:56","0.8","6","5.0","30","2020-11-17 14:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1006.3","...","1007.9","2020-11-18 09:31","1004.4","2020-11-18 15:44","24.5","30.5","2020-11-18 12:22","19.9","2020-11-18 04:11","...","81","48","2020-11-18 11:59","0.8","2","5.4","302","2020-11-18 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1005.3","...","1007.3","2020-11-19 08:56","1003.3","2020-11-19 14:56","26.1","31.3","2020-11-19 12:30","21.2","2020-11-19 04:47","...","74","49","2020-11-19 12:30","1.1","349","6.8","309","2020-11-19 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1006.3","...","1007.6","2020-11-20 09:16","1004.8","2020-11-20 14:43","26.2","31.2","2020-11-20 11:56","22.6","2020-11-20 03:07","...","79","52","2020-11-20 11:44","1.4","2","7.6","345","2020-11-20 14:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1007.4","...","1009.3","2020-11-21 22:16","1005.7","2020-11-21 14:07","26.2","32.6","2020-11-21 13:24","22.8","2020-11-21 05:24","...","84","44","2020-11-21 13:24","1.0","307","6.5","305","2020-11-21 14:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1009.9","...","1011.6","2020-11-22 09:30","1008.7","2020-11-22 02:51","25.4","30.0","2020-11-22 11:46","22.2","2020-11-22 22:20","...","85","60","2020-11-22 12:00","1.3","354","7.5","3","2020-11-22 13:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1011.2","...","1012.9","2020-11-23 09:10","1009.4","2020-11-23 14:37","24.1","28.3","2020-11-23 13:51","21.3","2020-11-23 05:16","...","81","62","2020-11-23 13:09","1.3","5","5.6","4","2020-11-23 16:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1011.3","...","1013.1","2020-11-24 09:08","1008.8","2020-11-24 15:28","24.0","28.6","2020-11-24 12:49","21.1","2020-11-24 03:22","...","78","56","2020-11-24 12:49","1.1","324","6.0","337","2020-11-24 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1010.6","...","1012.2","2020-11-25 09:04","1008.3","2020-11-25 14:36","23.9","29.0","2020-11-25 13:32","20.1","2020-11-25 05:05","...","85","55","2020-11-25 13:16","0.9","325","6.8","2","2020-11-25 15:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1010.8","...","...","...","...","...","24.6","...","...","...","...","...","82","...","...","1.0","334","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1011.8","...","1013.9","2020-11-27 08:56","1009.6","2020-11-27 15:04","22.6","27.1","2020-11-27 12:43","19.6","2020-11-27 23:59","...","78","61","2020-11-27 13:54","1.4","3","6.6","333","2020-11-27 16:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1012.3","...","1014.2","2020-11-28 09:05","1009.8","2020-11-28 14:47","21.5","27.2","2020-11-28 13:00","18.8","2020-11-28 06:39","...","76","52","2020-11-28 13:07","1.6","17","7.6","2","2020-11-28 15:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1012.5","...","1014.1","2020-11-29 09:40","1010.5","2020-11-29 15:03","20.8","26.4","2020-11-29 13:57","17.7","2020-11-29 06:24","...","76","54","2020-11-29 13:56","1.4","2","7.1","320","2020-11-29 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1012.6","...","1014.2","2020-11-30 08:56","1010.1","2020-11-30 14:42","20.7","25.4","2020-11-30 14:48","18.2","2020-11-30 01:14","...","74","59","2020-11-30 14:49","0.9","1","5.7","14","2020-11-30 16:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
