"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.4","...","1012.3","2019-12-01 00:02","1007.8","2019-12-01 14:49","21.7","28.2","2019-12-01 13:47","18.5","2019-12-01 06:02","...","83","37","2019-12-01 14:03","1.8","339","7.6","6","2019-12-01 14:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1011.4","...","1013.1","2019-12-02 20:39","1010.0","2019-12-02 04:02","17.8","21.6","2019-12-02 11:54","13.3","2019-12-02 23:58","...","79","55","2019-12-02 13:24","3.0","1","12.2","8","2019-12-02 14:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.5","...","1014.2","2019-12-03 08:48","1010.3","2019-12-03 15:05","16.5","23.4","2019-12-03 14:40","12.2","2019-12-03 03:57","...","70","44","2019-12-03 14:39","1.0","1","5.6","326","2019-12-03 16:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.2","...","1014.5","2019-12-04 09:32","1011.3","2019-12-04 14:26","17.0","21.8","2019-12-04 13:44","13.9","2019-12-04 01:16","...","78","49","2019-12-04 12:46","0.9","4","4.3","10","2019-12-04 05:41","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1013.7","...","1015.3","2019-12-05 10:34","1012.1","2019-12-05 14:40","14.9","16.2","2019-12-05 00:26","14.0","2019-12-05 18:49","...","98","86","2019-12-05 00:21","2.7","11","9.0","337","2019-12-05 14:03","13.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1012.5","...","1013.8","2019-12-06 00:17","1011.2","2019-12-06 03:29","15.0","16.1","2019-12-06 09:41","14.1","2019-12-06 23:58","...","99","99","2019-12-06 18:50","2.3","8","7.2","356","2019-12-06 12:07","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.8","...","1015.9","2019-12-07 22:38","1011.9","2019-12-07 14:29","15.2","18.8","2019-12-07 13:45","12.4","2019-12-07 04:27","...","83","64","2019-12-07 12:13","2.8","17","10.3","2","2019-12-07 14:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1014.7","...","1016.3","2019-12-08 09:03","1012.5","2019-12-08 15:18","16.2","22.8","2019-12-08 14:02","12.1","2019-12-08 05:27","...","68","40","2019-12-08 14:38","1.0","2","6.3","360","2019-12-08 15:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1012.9","...","1015.2","2019-12-09 00:25","1011.0","2019-12-09 17:08","17.5","21.9","2019-12-09 12:49","12.0","2019-12-09 05:42","...","74","47","2019-12-09 12:49","0.9","302","4.9","263","2019-12-09 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
