"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.9","...","999.4","2020-09-01 22:17","995.1","2020-09-01 04:01","29.0","33.1","2020-09-01 12:51","25.0","2020-09-01 06:02","...","81","54","2020-09-01 14:10","1.5","14","7.5","335","2020-09-01 14:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","999.6","...","1001.7","2020-09-02 22:16","997.7","2020-09-02 15:14","29.7","33.8","2020-09-02 14:24","25.9","2020-09-02 05:24","...","78","59","2020-09-02 12:14","1.8","216","8.4","216","2020-09-02 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1002.2","...","1004.8","2020-09-03 23:23","1000.2","2020-09-03 15:14","27.9","34.2","2020-09-03 13:33","24.7","2020-09-03 16:52","...","84","55","2020-09-03 13:32","1.3","126","9.2","150","2020-09-03 16:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1002.3","...","1004.4","2020-09-05 00:00","999.9","2020-09-04 17:05","28.6","34.1","2020-09-04 13:50","24.3","2020-09-04 05:54","...","80","55","2020-09-04 12:41","1.4","335","6.4","328","2020-09-04 16:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","999.5","...","1001.9","2020-09-06 00:00","997.2","2020-09-05 17:00","28.3","32.9","2020-09-05 14:30","25.5","2020-09-05 23:59","...","78","55","2020-09-05 15:19","1.5","3","7.4","1","2020-09-05 18:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","998.3","...","...","...","...","...","26.9","...","...","...","...","...","64","...","...","1.5","3","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1002.2","...","1005.6","2020-09-07 22:36","999.8","2020-09-07 02:50","27.7","35.0","2020-09-07 13:30","21.6","2020-09-07 03:50","...","62","27","2020-09-07 12:47","1.0","340","6.0","261","2020-09-07 14:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.4","...","1007.0","2020-09-08 22:00","1004.2","2020-09-08 15:05","28.7","33.7","2020-09-08 12:46","24.6","2020-09-08 05:57","...","75","42","2020-09-08 15:22","1.2","2","7.3","290","2020-09-08 16:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1003.5","...","1006.3","2020-09-09 08:18","1001.4","2020-09-09 16:46","28.9","34.7","2020-09-09 14:20","25.5","2020-09-09 02:45","...","76","44","2020-09-09 14:19","1.0","4","6.4","285","2020-09-09 15:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
