,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
12,2020-05-19,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,21
13,2020-05-26,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,22
14,2020-06-10,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,24
15,2020-06-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,25
16,2020-06-24,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,26
17,2020-06-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,27
18,2020-07-08,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,28
19,2020-07-29,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,31
20,2020-08-11,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,33
21,2020-08-18,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,34
22,2020-08-25,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,35
23,2020-09-01,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,36
24,2020-09-15,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,38
25,2020-09-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,39
26,2020-09-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,40
27,2020-10-06,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,41
28,2020-10-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,44
29,2020-11-04,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,45
30,2020-11-10,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,46
31,2020-11-17,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,47
32,2020-11-24,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,48
33,2020-12-15,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,51
0,2021-01-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,2
1,2021-02-23,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,8
2,2021-03-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,13
3,2021-04-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,17
4,2021-05-11,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,19
5,2021-06-08,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,30.0,30.0,0.0,,23
6,2021-06-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,70.0,70.0,0.0,,25
7,2021-07-06,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,27
8,2021-07-20,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,29
9,2021-08-05,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,30.0,30.0,0.0,,31
10,2021-08-06,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,20.0,20.0,0.0,,31
11,2021-08-17,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,33
12,2021-09-07,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,36
13,2021-10-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,41
14,2021-10-26,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,43
15,2021-11-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,46
16,2021-12-07,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,49
17,2021-12-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,50
18,2021-12-28,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,52
