,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,,2
1,2019-01-15,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,3
2,2019-01-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,5
3,2019-02-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,7
4,2019-02-19,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,8
5,2019-02-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,,9
6,2019-03-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,11
7,2019-03-19,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,12
8,2019-03-26,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,13
9,2019-04-02,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,14
10,2019-04-16,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,,16
11,2019-04-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,18
12,2019-05-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,19
13,2019-05-14,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,20
14,2019-05-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,,21
15,2019-06-04,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,23
16,2019-06-11,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,24
17,2019-07-02,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,,27
18,2019-07-16,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,29
19,2019-07-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,30
20,2019-07-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,31
21,2019-08-06,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,32
22,2019-08-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,33
23,2019-08-20,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,34
24,2019-08-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,35
25,2019-09-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,0.0,36
26,2019-09-10,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,0.0,37
27,2019-09-17,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,400.0,400.0,0.0,0.0,38
28,2019-10-09,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,41
29,2019-10-15,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,42
30,2019-10-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,100.0,100.0,0.0,,43
31,2019-11-05,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,45
32,2019-11-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,46
33,2019-11-19,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,47
34,2019-12-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,49
35,2019-12-10,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,50
36,2019-12-17,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,51
37,2019-12-31,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,1
0,2020-01-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,2
1,2020-01-14,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,3
2,2020-01-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,4
3,2020-02-04,V04702002,體溫速測儀專用膠套,500pc/box,個,T,400.0,0.0,0.0,200.0,200.0,0.0,,6
