,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,2
1,2019-01-15,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,3
2,2019-03-05,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,10
3,2019-03-12,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,30.0,30.0,0.0,,11
4,2019-03-19,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,30.0,30.0,0.0,,12
5,2019-03-26,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,20.0,20.0,0.0,,13
6,2019-04-02,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,14
7,2019-04-16,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,16
8,2019-05-07,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,19
9,2019-05-14,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,20
10,2019-05-21,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,30.0,30.0,0.0,,21
11,2019-05-25,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,20.0,20.0,0.0,,21
12,2019-05-28,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,22
13,2019-06-11,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,24
14,2019-06-25,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,26
15,2019-07-16,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,29
16,2019-07-30,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,31
17,2019-08-13,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,33
18,2019-08-20,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,34
19,2019-08-27,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,35
20,2019-09-03,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,0.0,36
21,2019-09-10,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,0.0,37
22,2019-09-24,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,0.0,39
23,2019-10-01,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,40
24,2019-10-09,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,41
25,2019-10-15,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,42
26,2019-10-22,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,43
27,2019-10-29,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,44
28,2019-11-05,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,,45
29,2019-11-12,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,46
30,2019-11-19,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,47
31,2019-11-26,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,48
32,2019-12-10,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,,50
