,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-02,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,1,,,,,,,,,,,,
1,2019-01-15,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,3,,,,,,,,,,,,
2,2019-01-21,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,4,,,,,,,,,,,,
3,2019-01-30,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,5,,,,,,,,,,,,
4,2019-02-13,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,7,,,,,,,,,,,,
5,2019-02-23,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,-200.0,-200.0,0.0,8,,,,,,,,,,,,
6,2019-03-11,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,11,,,,,,,,,,,,
7,2019-03-13,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,11,,,,,,,,,,,,
8,2019-04-02,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,14,,,,,,,,,,,,
9,2019-05-08,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,19,,,,,,,,,,,,
10,2019-06-12,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,24,,,,,,,,,,,,
11,2019-07-11,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,28,,,,,,,,,,,,
12,2019-07-22,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,30,,,,,,,,,,,,
13,2019-07-24,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,30,,,,,,,,,,,,
14,2019-07-31,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,31,,,,,,,,,,,,
15,2019-08-22,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,34,,,,,,,,,,,,
16,2019-09-04,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,36,,,,,,,,,,,,
17,2019-09-16,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,38,,,,,,,,,,,,
18,2019-11-11,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,46,,,,,,,,,,,,
19,2019-12-23,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,52,,,,,,,,,,,,
0,2020-01-16,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,3,,,,,,,,,,,,
1,2020-01-23,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,4,,,,,,,,,,,,
2,2020-02-22,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,8,,,,,,,,,,,,
3,2020-04-15,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,16,,,,,,,,,,,,
4,2020-04-20,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,100.0,100.0,0.0,17,,,,,,,,,,,,
5,2020-04-22,Z24105417,隔離衣,,件,T,400.0,0.0,0.0,200.0,200.0,0.0,17,,,,,,,,,,,,
