,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-09,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
1,2019-01-23,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,4,,,,,,,,,,,,
2,2019-04-25,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,17,,,,,,,,,,,,
3,2019-05-08,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,19,,,,,,,,,,,,
4,2019-05-22,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,21,,,,,,,,,,,,
5,2019-06-12,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,24,,,,,,,,,,,,
6,2019-07-03,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,27,,,,,,,,,,,,
7,2019-08-21,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,34,,,,,,,,,,,,
8,2019-08-25,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,-35.0,-35.0,0.0,34,,,,,,,,,,,,
9,2019-09-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,37,,,,,,,,,,,,
10,2019-12-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,50,,,,,,,,,,,,
0,2020-01-02,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,1,,,,,,,,,,,,
1,2020-01-08,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
2,2020-06-17,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
3,2020-06-23,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,26,,,,,,,,,,,,
4,2020-07-28,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,31,,,,,,,,,,,,
5,2020-08-05,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,50.0,50.0,0.0,32,,,,,,,,,,,,
6,2020-09-23,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,39,,,,,,,,,,,,
