,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-16,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,3,,,,,,,,,,,,
1,2019-04-10,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,15,,,,,,,,,,,,
2,2019-05-01,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,18,,,,,,,,,,,,
3,2019-05-15,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,2.0,2.0,0.0,20,,,,,,,,,,,,
4,2019-05-17,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,3.0,3.0,0.0,20,,,,,,,,,,,,
5,2019-05-29,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,22,,,,,,,,,,,,
6,2019-07-10,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,28,,,,,,,,,,,,
7,2019-10-23,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,43,,,,,,,,,,,,
8,2019-11-20,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,47,,,,,,,,,,,,
9,2019-12-18,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,捲,T,5.0,0.0,0.0,5.0,5.0,0.0,51,,,,,,,,,,,,
