,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-02-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,8,,,,,,,,,,,,
1,2019-03-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,12,,,,,,,,,,,,
2,2019-04-25,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
3,2019-05-01,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,18,,,,,,,,,,,,
4,2019-06-12,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,24,,,,,,,,,,,,
5,2019-07-03,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,27,,,,,,,,,,,,
6,2019-08-07,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,32,,,,,,,,,,,,
7,2019-09-11,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,2.0,2.0,0.0,37,,,,,,,,,,,,
8,2019-11-06,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,45,,,,,,,,,,,,
9,2019-12-04,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,49,,,,,,,,,,,,
0,2020-01-08,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,2,,,,,,,,,,,,
1,2020-01-16,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,3,,,,,,,,,,,,
2,2020-04-15,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,16,,,,,,,,,,,,
3,2020-05-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,21,,,,,,,,,,,,
4,2020-06-17,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,25,,,,,,,,,,,,
5,2020-07-01,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,27,,,,,,,,,,,,
6,2020-07-15,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,29,,,,,,,,,,,,
7,2020-07-22,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,2.0,2.0,0.0,30,,,,,,,,,,,,
8,2020-07-28,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,31,,,,,,,,,,,,
9,2020-08-12,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,33,,,,,,,,,,,,
10,2020-11-18,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,47,,,,,,,,,,,,
0,2021-01-06,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-02-10,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,2.0,2.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-04-21,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-05-26,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,21,,,,,,,,,,,,
5,2021-07-29,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,2.0,2.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-05,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,31,,,,,,,,,,,,
7,2021-09-29,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,39,,,,,,,,,,,,
8,2021-10-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,42,,,,,,,,,,,,
9,2021-10-27,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,43,,,,,,,,,,,,
10,2021-11-12,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,45,,,,,,,,,,,,
11,2021-12-09,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,49,,,,,,,,,,,,
12,2021-12-22,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,1.0,1.0,0.0,51,,,,,,,,,,,,
13,2021-12-30,V00500012,超音波傳導膠,250ml/瓶,瓶,T,2.0,0.0,0.0,2.0,2.0,0.0,52,,,,,,,,,,,,
