,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,1,,,,,,,,,,,,
1,2019-01-16,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,3,,,,,,,,,,,,
2,2019-01-23,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,4,,,,,,,,,,,,
3,2019-01-30,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,5,,,,,,,,,,,,
4,2019-02-26,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,9,,,,,,,,,,,,
5,2019-03-06,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,10,,,,,,,,,,,,
6,2019-03-20,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,12,,,,,,,,,,,,
7,2019-04-10,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,15,,,,,,,,,,,,
8,2019-04-17,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,16,,,,,,,,,,,,
9,2019-05-01,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,18,,,,,,,,,,,,
10,2019-05-08,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,19,,,,,,,,,,,,
11,2019-05-22,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,21,,,,,,,,,,,,
12,2019-05-25,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,-1.0,-1.0,0.0,21,,,,,,,,,,,,
13,2019-05-29,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,22,,,,,,,,,,,,
14,2019-06-19,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,35.0,35.0,0.0,25,,,,,,,,,,,,
15,2019-07-03,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,27,,,,,,,,,,,,
16,2019-07-24,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,20.0,20.0,0.0,30,,,,,,,,,,,,
17,2019-07-31,F20111009,塑膠彎盆,500-600cc,個,T,35.0,0.0,0.0,30.0,30.0,0.0,31,,,,,,,,,,,,
