,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,撥補
0,2019-06-24,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,20.0,0.0,0.0,20.0,20.0,0.0,26,
0,2020-12-28,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,20.0,0.0,0.0,20.0,20.0,0.0,53,
