,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
6,2021-07-23,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,29
7,2021-07-29,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,30
8,2021-08-10,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,32
9,2021-08-17,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,33
10,2021-09-07,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,5.0,5.0,0.0,36
11,2021-09-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,37
12,2021-10-19,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,42
13,2021-11-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,44
14,2021-11-09,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,45
15,2021-11-16,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,46
