,日期,週,年,病人數量,總病人數,平均病人數
437,2020/3/15,11,2020,29,223.0,31.86
444,2020/3/22,12,2020,44,257.0,36.71
451,2020/3/29,13,2020,40,288.0,41.14
458,2020/4/5,14,2020,29,264.0,37.71
465,2020/4/12,15,2020,39,280.0,40.0
472,2020/4/19,16,2020,36,282.0,40.29
479,2020/4/26,17,2020,38,293.0,41.86
486,2020/5/3,18,2020,38,276.0,39.43
493,2020/5/10,19,2020,35,276.0,39.43
500,2020/5/17,20,2020,32,271.0,38.71
507,2020/5/24,21,2020,23,215.0,30.71
514,2020/5/31,22,2020,22,218.0,31.14
521,2020/6/7,23,2020,30,213.0,30.43
528,2020/6/14,24,2020,43,280.0,40.0
535,2020/6/21,25,2020,38,299.0,42.71
542,2020/6/28,26,2020,30,248.0,35.43
549,2020/7/5,27,2020,40,299.0,42.71
556,2020/7/12,28,2020,28,263.0,37.57
563,2020/7/19,29,2020,29,239.0,34.14
570,2020/7/26,30,2020,26,241.0,34.43
577,2020/8/2,31,2020,35,239.0,34.14
584,2020/8/9,32,2020,37,269.0,38.43
591,2020/8/16,33,2020,38,300.0,42.86
598,2020/8/23,34,2020,29,244.0,34.86
605,2020/8/30,35,2020,38,291.0,41.57
612,2020/9/6,36,2020,26,261.0,37.29
619,2020/9/13,37,2020,38,241.0,34.43
626,2020/9/20,38,2020,34,276.0,39.43
633,2020/9/27,39,2020,32,301.0,43.0
640,2020/10/4,40,2020,21,213.0,30.43
647,2020/10/11,41,2020,25,197.0,28.14
654,2020/10/18,42,2020,34,291.0,41.57
661,2020/10/25,43,2020,28,264.0,37.71
668,2020/11/1,44,2020,32,224.0,32.0
675,2020/11/8,45,2020,28,276.0,39.43
682,2020/11/15,46,2020,31,230.0,32.86
689,2020/11/22,47,2020,32,293.0,41.86
696,2020/11/29,48,2020,34,240.0,34.29
703,2020/12/6,49,2020,32,288.0,41.14
710,2020/12/13,50,2020,25,213.0,30.43
717,2020/12/20,51,2020,25,243.0,34.71
724,2020/12/27,52,2020,35,235.0,33.57
731,2021/1/10,1,2021,34,238.0,34.0
738,2021/1/17,2,2021,37,305.0,43.57
745,2021/1/24,3,2021,33,296.0,42.29
752,2021/1/31,4,2021,31,261.0,37.29
759,2021/2/7,5,2021,29,258.0,36.86
766,2021/2/14,6,2021,0,45.0,6.43
773,2021/2/21,7,2021,38,183.0,26.14
780,2021/2/28,8,2021,24,279.0,39.86
787,2021/3/7,9,2021,26,257.0,36.71
794,2021/3/14,10,2021,31,258.0,36.86
801,2021/3/21,11,2021,31,280.0,40.0
808,2021/3/28,12,2021,40,255.0,36.43
815,2021/4/4,13,2021,25,243.0,34.71
822,2021/4/11,14,2021,32,234.0,33.43
829,2021/4/18,15,2021,31,269.0,38.43
836,2021/4/25,16,2021,19,202.0,28.86
843,2021/5/2,17,2021,25,245.0,35.0
850,2021/5/9,18,2021,31,236.0,33.71
857,2021/5/16,19,2021,28,229.0,32.71
864,2021/5/23,20,2021,21,213.0,30.43
871,2021/5/30,21,2021,33,230.0,32.86
878,2021/6/6,22,2021,32,242.0,34.57
885,2021/6/13,23,2021,26,225.0,32.14
892,2021/6/20,24,2021,31,211.0,30.14
899,2021/6/27,25,2021,31,209.0,29.86
906,2021/7/4,26,2021,29,231.0,33.0
913,2021/7/11,27,2021,34,248.0,35.43
920,2021/7/18,28,2021,31,239.0,34.14
927,2021/7/25,29,2021,30,226.0,32.29
934,2021/8/1,30,2021,26,237.0,33.86
941,2021/8/8,31,2021,26,225.0,32.14
948,2021/8/15,32,2021,26,219.0,31.29
955,2021/8/22,33,2021,30,224.0,32.0
962,2021/8/29,34,2021,31,237.0,33.86
969,2021/9/5,35,2021,31,259.0,37.0
976,2021/9/12,36,2021,34,258.0,36.86
983,2021/9/19,37,2021,29,271.0,38.71
990,2021/9/26,38,2021,29,194.0,27.71
997,2021/10/3,39,2021,41,286.0,40.86
1004,2021/10/10,40,2021,21,233.0,33.29
1011,2021/10/17,41,2021,20,176.0,25.14
1018,2021/10/24,42,2021,21,182.0,26.0
1025,2021/10/31,43,2021,36,238.0,34.0
1032,2021/11/7,44,2021,33,247.0,35.29
1039,2021/11/14,45,2021,29,279.0,39.86
1046,2021/11/21,46,2021,33,233.0,33.29
1053,2021/11/28,47,2021,36,259.0,37.0
1060,2021/12/5,48,2021,27,206.0,29.43
1067,2021/12/12,49,2021,25,198.0,28.29
1074,2021/12/19,50,2021,24,234.0,33.43
1081,2021/12/26,51,2021,29,240.0,34.29
1086,2021/12/31,52,2021,39,203.0,40.6
