,日期,病人數量
0,2019-01-01,29.0
1,2019-01-02,33.0
2,2019-01-03,31.0
3,2019-01-04,30.0
4,2019-01-05,25.0
5,2019-01-06,27.0
6,2019-01-07,34.0
7,2019-01-08,37.0
8,2019-01-09,37.0
9,2019-01-10,41.0
10,2019-01-11,39.0
11,2019-01-12,31.0
12,2019-01-13,31.0
13,2019-01-14,35.0
14,2019-01-15,36.0
15,2019-01-16,37.0
16,2019-01-17,33.0
17,2019-01-18,33.0
18,2019-01-19,30.0
19,2019-01-20,27.0
20,2019-01-21,30.0
21,2019-01-22,33.0
22,2019-01-23,33.0
23,2019-01-24,33.0
24,2019-01-25,30.0
25,2019-01-26,30.0
26,2019-01-27,26.0
27,2019-01-28,26.0
28,2019-01-29,25.0
29,2019-01-30,25.0
30,2019-01-31,25.0
31,2019-02-01,25.0
32,2019-02-02,28.0
33,2019-02-03,25.0
34,2019-02-04,26.0
35,2019-02-05,25.0
36,2019-02-06,23.0
37,2019-02-07,27.0
38,2019-02-08,30.0
39,2019-02-09,29.0
40,2019-02-10,32.0
41,2019-02-11,39.0
42,2019-02-12,40.0
43,2019-02-13,45.0
44,2019-02-14,46.0
45,2019-02-15,46.0
46,2019-02-16,41.0
47,2019-02-17,38.0
48,2019-02-18,41.0
49,2019-02-19,35.0
50,2019-02-20,40.0
51,2019-02-21,37.0
52,2019-02-22,38.0
53,2019-02-23,34.0
54,2019-02-24,34.0
55,2019-02-25,42.0
56,2019-02-26,43.0
57,2019-02-27,43.0
58,2019-02-28,31.0
59,2019-03-01,30.0
60,2019-03-02,27.0
61,2019-03-03,23.0
62,2019-03-04,30.0
63,2019-03-05,32.0
64,2019-03-06,42.0
65,2019-03-07,44.0
66,2019-03-08,44.0
67,2019-03-09,33.0
68,2019-03-10,25.0
69,2019-03-11,32.0
70,2019-03-12,33.0
71,2019-03-13,34.0
72,2019-03-14,39.0
73,2019-03-15,38.0
74,2019-03-16,31.0
75,2019-03-17,30.0
76,2019-03-18,37.0
77,2019-03-19,41.0
78,2019-03-20,40.0
79,2019-03-21,40.0
80,2019-03-22,41.0
81,2019-03-23,38.0
82,2019-03-24,36.0
83,2019-03-25,38.0
84,2019-03-26,35.0
85,2019-03-27,35.0
86,2019-03-28,33.0
87,2019-03-29,31.0
