,日期,病人數量
0,2021-01-01,29.0
1,2021-01-02,26.0
2,2021-01-03,22.0
3,2021-01-04,28.0
4,2021-01-05,34.0
5,2021-01-06,35.0
6,2021-01-07,38.0
7,2021-01-08,36.0
8,2021-01-09,33.0
9,2021-01-10,34.0
10,2021-01-11,41.0
11,2021-01-12,43.0
12,2021-01-13,47.0
13,2021-01-14,49.0
14,2021-01-15,46.0
15,2021-01-16,42.0
16,2021-01-17,37.0
17,2021-01-18,37.0
18,2021-01-19,46.0
19,2021-01-20,46.0
20,2021-01-21,49.0
21,2021-01-22,46.0
22,2021-01-23,39.0
23,2021-01-24,33.0
24,2021-01-25,37.0
25,2021-01-26,42.0
26,2021-01-27,42.0
27,2021-01-28,42.0
28,2021-01-29,38.0
29,2021-01-30,29.0
30,2021-01-31,31.0
31,2021-02-01,40.0
32,2021-02-02,40.0
33,2021-02-03,37.0
34,2021-02-04,40.0
35,2021-02-05,39.0
36,2021-02-06,33.0
37,2021-02-07,29.0
38,2021-02-08,25.0
39,2021-02-09,17.0
40,2021-02-10,1.0
41,2021-02-11,2.0
42,2021-02-12,0.0
43,2021-02-13,0.0
44,2021-02-14,0.0
45,2021-02-15,1.0
46,2021-02-16,15.0
47,2021-02-17,22.0
48,2021-02-18,32.0
49,2021-02-19,37.0
50,2021-02-20,38.0
51,2021-02-21,38.0
52,2021-02-22,43.0
53,2021-02-23,43.0
54,2021-02-24,44.0
55,2021-02-25,44.0
56,2021-02-26,44.0
57,2021-02-27,37.0
58,2021-02-28,24.0
59,2021-03-01,34.0
60,2021-03-02,36.0
61,2021-03-03,41.0
62,2021-03-04,44.0
63,2021-03-05,41.0
64,2021-03-06,35.0
65,2021-03-07,26.0
66,2021-03-08,30.0
67,2021-03-09,35.0
68,2021-03-10,37.0
69,2021-03-11,44.0
70,2021-03-12,44.0
71,2021-03-13,37.0
72,2021-03-14,31.0
73,2021-03-15,37.0
74,2021-03-16,39.0
75,2021-03-17,43.0
76,2021-03-18,44.0
77,2021-03-19,44.0
78,2021-03-20,42.0
79,2021-03-21,31.0
80,2021-03-22,35.0
81,2021-03-23,37.0
82,2021-03-24,36.0
83,2021-03-25,34.0
84,2021-03-26,35.0
85,2021-03-27,38.0
86,2021-03-28,40.0
87,2021-03-29,39.0
88,2021-03-30,37.0
89,2021-03-31,41.0
90,2021-04-01,42.0
91,2021-04-02,36.0
92,2021-04-03,23.0
93,2021-04-04,25.0
94,2021-04-05,25.0
95,2021-04-06,32.0
96,2021-04-07,35.0
97,2021-04-08,36.0
98,2021-04-09,38.0
99,2021-04-10,36.0
100,2021-04-11,32.0
101,2021-04-12,36.0
102,2021-04-13,38.0
103,2021-04-14,39.0
104,2021-04-15,45.0
105,2021-04-16,44.0
106,2021-04-17,36.0
107,2021-04-18,31.0
108,2021-04-19,32.0
109,2021-04-20,32.0
110,2021-04-21,33.0
111,2021-04-22,33.0
112,2021-04-23,32.0
113,2021-04-24,21.0
114,2021-04-25,19.0
115,2021-04-26,29.0
116,2021-04-27,33.0
117,2021-04-28,41.0
118,2021-04-29,42.0
119,2021-04-30,41.0
120,2021-05-01,34.0
121,2021-05-02,25.0
122,2021-05-03,28.0
123,2021-05-04,32.0
124,2021-05-05,35.0
125,2021-05-06,39.0
126,2021-05-07,39.0
