,庫房,料號,品名,數量,週
4102,DLN5,C13930399,T型連接管,78.0,1
4173,DLN5,C13930399,T型連接管,77.0,2
4234,DLN5,C13930399,T型連接管,67.0,3
4285,DLN5,C13930399,T型連接管,80.0,4
8053,DLN5,C13930399,T型連接管,69.0,5
8058,DLN5,C13930399,T型連接管,5.0,6
8104,DLN5,C13930399,T型連接管,50.0,7
8175,DLN5,C13930399,T型連接管,80.0,8
12617,DLN5,C13930399,T型連接管,88.0,9
12674,DLN5,C13930399,T型連接管,61.0,10
12735,DLN5,C13930399,T型連接管,74.0,11
12792,DLN5,C13930399,T型連接管,70.0,12
16845,DLN5,C13930399,T型連接管,66.0,13
16909,DLN5,C13930399,T型連接管,73.0,14
16954,DLN5,C13930399,T型連接管,48.0,15
16993,DLN5,C13930399,T型連接管,42.0,16
20961,DLN5,C13930399,T型連接管,54.0,17
21016,DLN5,C13930399,T型連接管,60.0,18
21066,DLN5,C13930399,T型連接管,52.0,19
21119,DLN5,C13930399,T型連接管,58.0,20
21170,DLN5,C13930399,T型連接管,54.0,21
25499,DLN5,C13930399,T型連接管,65.0,22
25550,DLN5,C13930399,T型連接管,62.0,23
25662,DLN5,C13930399,T型連接管,56.0,24
25642,DLN5,C13930399,T型連接管,49.0,25
30286,DLN5,C13930399,T型連接管,61.0,26
30358,DLN5,C13930399,T型連接管,84.0,27
30426,DLN5,C13930399,T型連接管,79.0,28
30482,DLN5,C13930399,T型連接管,63.0,29
34591,DLN5,C13930399,T型連接管,76.0,30
34647,DLN5,C13930399,T型連接管,62.0,31
34694,DLN5,C13930399,T型連接管,51.0,32
34817,DLN5,C13930399,T型連接管,65.0,33
34808,DLN5,C13930399,T型連接管,57.0,34
39290,DLN5,C13930399,T型連接管,80.0,35
39347,DLN5,C13930399,T型連接管,63.0,36
39404,DLN5,C13930399,T型連接管,60.0,37
39445,DLN5,C13930399,T型連接管,49.0,38
43565,DLN5,C13930399,T型連接管,65.0,39
43612,DLN5,C13930399,T型連接管,55.0,40
43653,DLN5,C13930399,T型連接管,45.0,41
43701,DLN5,C13930399,T型連接管,52.0,42
43758,DLN5,C13930399,T型連接管,65.0,43
47711,DLN5,C13930399,T型連接管,60.0,44
47779,DLN5,C13930399,T型連接管,75.0,45
47824,DLN5,C13930399,T型連接管,48.0,46
47881,DLN5,C13930399,T型連接管,75.0,47
51968,DLN5,C13930399,T型連接管,53.0,48
52009,DLN5,C13930399,T型連接管,59.0,49
52070,DLN5,C13930399,T型連接管,72.0,50
52123,DLN5,C13930399,T型連接管,60.0,51
52157,DLN5,C13930399,T型連接管,38.0,52
