,庫房,料號,品名,數量,週
3457,DLN5,B00304056,彈性紗捲,10.0,1
3469,DLN5,B00304056,彈性紗捲,13.0,2
3472,DLN5,B00304056,彈性紗捲,4.0,3
3476,DLN5,B00304056,彈性紗捲,16.0,4
7583,DLN5,B00304056,彈性紗捲,5.0,5
7585,DLN5,B00304056,彈性紗捲,2.0,6
7599,DLN5,B00304056,彈性紗捲,23.0,7
7622,DLN5,B00304056,彈性紗捲,24.0,8
11964,DLN5,B00304056,彈性紗捲,11.0,9
11969,DLN5,B00304056,彈性紗捲,6.0,10
11976,DLN5,B00304056,彈性紗捲,7.0,11
11985,DLN5,B00304056,彈性紗捲,9.0,12
16337,DLN5,B00304056,彈性紗捲,8.0,13
16343,DLN5,B00304056,彈性紗捲,6.0,14
16368,DLN5,B00304056,彈性紗捲,25.0,15
16379,DLN5,B00304056,彈性紗捲,14.0,16
20562,DLN5,B00304056,彈性紗捲,12.0,17
20572,DLN5,B00304056,彈性紗捲,10.0,18
20576,DLN5,B00304056,彈性紗捲,4.0,19
20582,DLN5,B00304056,彈性紗捲,6.0,20
20593,DLN5,B00304056,彈性紗捲,11.0,21
25000,DLN5,B00304056,彈性紗捲,24.0,22
25003,DLN5,B00304056,彈性紗捲,4.0,23
25006,DLN5,B00304056,彈性紗捲,4.0,24
25008,DLN5,B00304056,彈性紗捲,2.0,25
29750,DLN5,B00304056,彈性紗捲,4.0,26
29756,DLN5,B00304056,彈性紗捲,10.0,27
29760,DLN5,B00304056,彈性紗捲,4.0,28
29761,DLN5,B00304056,彈性紗捲,1.0,29
29765,DLN5,B00304056,彈性紗捲,4.0,30
34149,DLN5,B00304056,彈性紗捲,1.0,31
34150,DLN5,B00304056,彈性紗捲,1.0,32
34152,DLN5,B00304056,彈性紗捲,2.0,33
34159,DLN5,B00304056,彈性紗捲,9.0,34
38748,DLN5,B00304056,彈性紗捲,12.0,35
38755,DLN5,B00304056,彈性紗捲,9.0,36
38762,DLN5,B00304056,彈性紗捲,7.0,37
38766,DLN5,B00304056,彈性紗捲,4.0,38
43130,DLN5,B00304056,彈性紗捲,11.0,39
43139,DLN5,B00304056,彈性紗捲,9.0,40
43151,DLN5,B00304056,彈性紗捲,13.0,41
43154,DLN5,B00304056,彈性紗捲,3.0,42
43164,DLN5,B00304056,彈性紗捲,10.0,43
47200,DLN5,B00304056,彈性紗捲,4.0,44
47206,DLN5,B00304056,彈性紗捲,7.0,45
47209,DLN5,B00304056,彈性紗捲,3.0,46
47215,DLN5,B00304056,彈性紗捲,7.0,47
51500,DLN5,B00304056,彈性紗捲,4.0,48
51501,DLN5,B00304056,彈性紗捲,1.0,49
51506,DLN5,B00304056,彈性紗捲,5.0,50
51507,DLN5,B00304056,彈性紗捲,1.0,51
51508,DLN5,B00304056,彈性紗捲,2.0,52
