,庫房,料號,品名,數量,週
2073,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,43.0,1
2102,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,59.0,2
2125,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,40.0,3
2142,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,77.0,4
6589,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,50.0,5
6593,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,6
6610,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,26.0,7
6639,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,45.0,8
10727,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,72.0,9
10752,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,35.0,10
10779,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,52.0,11
10800,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,51.0,12
15242,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,55.0,13
15270,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,43.0,14
15289,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,25.0,15
15304,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,23.0,16
19317,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,33.0,17
19337,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,32.0,18
19354,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,23.0,19
19379,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,37.0,20
19405,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,35.0,21
23724,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,60.0,22
23750,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,41.0,23
23778,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,52.0,24
23798,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,37.0,25
28510,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,67.0,26
28546,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,67.0,27
28584,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,69.0,28
28615,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,55.0,29
33065,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,89.0,30
33092,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,52.0,31
33117,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,36.0,32
33136,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,22.0,33
33162,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,37.0,34
37280,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,56.0,35
37306,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,48.0,36
37327,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,39.0,37
37346,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,32.0,38
42066,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,40.0,39
42088,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,40.0,40
42110,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,34.0,41
42131,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,29.0,42
42158,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,39.0,43
46213,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,61.0,44
46249,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,74.0,45
46273,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,54.0,46
46307,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,57.0,47
50152,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,46.0,48
50176,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,52.0,49
50206,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,49.0,50
50235,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,38.0,51
50250,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,26.0,52
