,庫房,料號,品名,數量,週
3832,DLN5,B03110120,人工薄膜,6.0,1
3848,DLN5,B03110120,人工薄膜,17.0,2
3860,DLN5,B03110120,人工薄膜,12.0,3
3866,DLN5,B03110120,人工薄膜,9.0,4
7856,DLN5,B03110120,人工薄膜,18.0,5
7857,DLN5,B03110120,人工薄膜,1.0,6
7872,DLN5,B03110120,人工薄膜,22.0,7
7883,DLN5,B03110120,人工薄膜,14.0,8
12333,DLN5,B03110120,人工薄膜,17.0,9
12351,DLN5,B03110120,人工薄膜,25.0,10
12365,DLN5,B03110120,人工薄膜,18.0,11
12376,DLN5,B03110120,人工薄膜,12.0,12
16673,DLN5,B03110120,人工薄膜,17.0,13
16691,DLN5,B03110120,人工薄膜,22.0,14
16707,DLN5,B03110120,人工薄膜,20.0,15
16715,DLN5,B03110120,人工薄膜,9.0,16
20844,DLN5,B03110120,人工薄膜,15.0,17
20848,DLN5,B03110120,人工薄膜,6.0,18
20857,DLN5,B03110120,人工薄膜,16.0,19
20866,DLN5,B03110120,人工薄膜,10.0,20
20867,DLN5,B03110120,人工薄膜,2.0,21
25271,DLN5,B03110120,人工薄膜,7.0,22
25275,DLN5,B03110120,人工薄膜,4.0,23
25282,DLN5,B03110120,人工薄膜,9.0,24
25285,DLN5,B03110120,人工薄膜,3.0,25
30086,DLN5,B03110120,人工薄膜,10.0,26
30089,DLN5,B03110120,人工薄膜,4.0,27
30098,DLN5,B03110120,人工薄膜,16.0,28
30111,DLN5,B03110120,人工薄膜,20.0,29
34436,DLN5,B03110120,人工薄膜,14.0,30
34452,DLN5,B03110120,人工薄膜,24.0,31
34463,DLN5,B03110120,人工薄膜,18.0,32
34472,DLN5,B03110120,人工薄膜,12.0,33
34485,DLN5,B03110120,人工薄膜,14.0,34
39058,DLN5,B03110120,人工薄膜,12.0,35
39069,DLN5,B03110120,人工薄膜,13.0,36
39084,DLN5,B03110120,人工薄膜,22.0,37
39096,DLN5,B03110120,人工薄膜,13.0,38
43426,DLN5,B03110120,人工薄膜,15.0,39
43434,DLN5,B03110120,人工薄膜,8.0,40
43441,DLN5,B03110120,人工薄膜,8.0,41
43446,DLN5,B03110120,人工薄膜,5.0,42
43456,DLN5,B03110120,人工薄膜,17.0,43
47497,DLN5,B03110120,人工薄膜,13.0,44
47509,DLN5,B03110120,人工薄膜,20.0,45
47521,DLN5,B03110120,人工薄膜,34.0,46
47530,DLN5,B03110120,人工薄膜,27.0,47
51788,DLN5,B03110120,人工薄膜,16.0,48
51799,DLN5,B03110120,人工薄膜,19.0,49
51815,DLN5,B03110120,人工薄膜,22.0,50
51830,DLN5,B03110120,人工薄膜,21.0,51
51838,DLN5,B03110120,人工薄膜,8.0,52
