,庫房,料號,品名,數量,週
1668,DLN5,C13930399,T型連接管,32.0,1
1703,DLN5,C13930399,T型連接管,38.0,2
1747,DLN5,C13930399,T型連接管,48.0,3
1757,DLN5,C13930399,T型連接管,11.0,4
4896,DLN5,C13930399,T型連接管,13.0,5
4970,DLN5,C13930399,T型連接管,79.0,6
5033,DLN5,C13930399,T型連接管,67.0,7
5102,DLN5,C13930399,T型連接管,72.0,8
9566,DLN5,C13930399,T型連接管,49.0,9
9623,DLN5,C13930399,T型連接管,65.0,10
9690,DLN5,C13930399,T型連接管,75.0,11
9757,DLN5,C13930399,T型連接管,72.0,12
9844,DLN5,C13930399,T型連接管,104.0,13
15342,DLN5,C13930399,T型連接管,63.0,14
15412,DLN5,C13930399,T型連接管,76.0,15
15495,DLN5,C13930399,T型連接管,98.0,16
15567,DLN5,C13930399,T型連接管,76.0,17
20255,DLN5,C13930399,T型連接管,75.0,18
20318,DLN5,C13930399,T型連接管,74.0,19
20390,DLN5,C13930399,T型連接管,87.0,20
20447,DLN5,C13930399,T型連接管,60.0,21
20501,DLN5,C13930399,T型連接管,64.0,22
24910,DLN5,C13930399,T型連接管,45.0,23
24982,DLN5,C13930399,T型連接管,75.0,24
25053,DLN5,C13930399,T型連接管,79.0,25
25115,DLN5,C13930399,T型連接管,70.0,26
29563,DLN5,C13930399,T型連接管,80.0,27
29637,DLN5,C13930399,T型連接管,83.0,28
29694,DLN5,C13930399,T型連接管,61.0,29
29753,DLN5,C13930399,T型連接管,71.0,30
34528,DLN5,C13930399,T型連接管,71.0,31
34598,DLN5,C13930399,T型連接管,77.0,32
34675,DLN5,C13930399,T型連接管,84.0,33
34731,DLN5,C13930399,T型連接管,62.0,34
34810,DLN5,C13930399,T型連接管,93.0,35
39262,DLN5,C13930399,T型連接管,73.0,36
39312,DLN5,C13930399,T型連接管,54.0,37
39381,DLN5,C13930399,T型連接管,72.0,38
39461,DLN5,C13930399,T型連接管,88.0,39
44128,DLN5,C13930399,T型連接管,59.0,40
44185,DLN5,C13930399,T型連接管,58.0,41
44265,DLN5,C13930399,T型連接管,88.0,42
44327,DLN5,C13930399,T型連接管,64.0,43
49241,DLN5,C13930399,T型連接管,76.0,44
49307,DLN5,C13930399,T型連接管,69.0,45
49371,DLN5,C13930399,T型連接管,67.0,46
49454,DLN5,C13930399,T型連接管,92.0,47
49512,DLN5,C13930399,T型連接管,65.0,48
54180,DLN5,C13930399,T型連接管,74.0,49
54221,DLN5,C13930399,T型連接管,50.0,50
54275,DLN5,C13930399,T型連接管,57.0,51
54337,DLN5,C13930399,T型連接管,73.0,52
