,庫房,料號,品名,數量,週
1969,DLN5,K80004044,Push Button Blood Collection,19.0,1
1993,DLN5,K80004044,Push Button Blood Collection,29.0,2
2020,DLN5,K80004044,Push Button Blood Collection,31.0,3
2025,DLN5,K80004044,Push Button Blood Collection,8.0,4
5465,DLN5,K80004044,Push Button Blood Collection,4.0,5
5501,DLN5,K80004044,Push Button Blood Collection,46.0,6
5534,DLN5,K80004044,Push Button Blood Collection,34.0,7
5568,DLN5,K80004044,Push Button Blood Collection,39.0,8
10417,DLN5,K80004044,Push Button Blood Collection,41.0,9
10447,DLN5,K80004044,Push Button Blood Collection,39.0,10
10488,DLN5,K80004044,Push Button Blood Collection,45.0,11
10531,DLN5,K80004044,Push Button Blood Collection,49.0,12
10563,DLN5,K80004044,Push Button Blood Collection,46.0,13
16384,DLN5,K80004044,Push Button Blood Collection,45.0,14
16435,DLN5,K80004044,Push Button Blood Collection,68.0,15
16483,DLN5,K80004044,Push Button Blood Collection,61.0,16
16529,DLN5,K80004044,Push Button Blood Collection,69.0,17
21050,DLN5,K80004044,Push Button Blood Collection,61.0,18
21087,DLN5,K80004044,Push Button Blood Collection,43.0,19
21129,DLN5,K80004044,Push Button Blood Collection,57.0,20
21158,DLN5,K80004044,Push Button Blood Collection,35.0,21
21184,DLN5,K80004044,Push Button Blood Collection,44.0,22
25631,DLN5,K80004044,Push Button Blood Collection,39.0,23
25677,DLN5,K80004044,Push Button Blood Collection,57.0,24
25726,DLN5,K80004044,Push Button Blood Collection,58.0,25
25768,DLN5,K80004044,Push Button Blood Collection,52.0,26
30322,DLN5,K80004044,Push Button Blood Collection,56.0,27
30365,DLN5,K80004044,Push Button Blood Collection,52.0,28
30393,DLN5,K80004044,Push Button Blood Collection,32.0,29
30427,DLN5,K80004044,Push Button Blood Collection,41.0,30
35311,DLN5,K80004044,Push Button Blood Collection,35.0,31
35341,DLN5,K80004044,Push Button Blood Collection,39.0,32
35375,DLN5,K80004044,Push Button Blood Collection,45.0,33
35403,DLN5,K80004044,Push Button Blood Collection,30.0,34
35430,DLN5,K80004044,Push Button Blood Collection,30.0,35
40008,DLN5,K80004044,Push Button Blood Collection,46.0,36
40028,DLN5,K80004044,Push Button Blood Collection,21.0,37
40056,DLN5,K80004044,Push Button Blood Collection,32.0,38
40096,DLN5,K80004044,Push Button Blood Collection,49.0,39
45385,DLN5,K80004044,Push Button Blood Collection,30.0,40
45409,DLN5,K80004044,Push Button Blood Collection,31.0,41
45452,DLN5,K80004044,Push Button Blood Collection,53.0,42
45488,DLN5,K80004044,Push Button Blood Collection,39.0,43
50261,DLN5,K80004044,Push Button Blood Collection,38.0,44
50298,DLN5,K80004044,Push Button Blood Collection,38.0,45
50327,DLN5,K80004044,Push Button Blood Collection,30.0,46
50354,DLN5,K80004044,Push Button Blood Collection,31.0,47
50381,DLN5,K80004044,Push Button Blood Collection,33.0,48
55306,DLN5,K80004044,Push Button Blood Collection,42.0,49
55322,DLN5,K80004044,Push Button Blood Collection,19.0,50
55351,DLN5,K80004044,Push Button Blood Collection,32.0,51
55381,DLN5,K80004044,Push Button Blood Collection,37.0,52
