,庫房,料號,品名,數量,週
857,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,33.0,1
877,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,31.0,2
908,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,36.0,3
914,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,8.0,4
3416,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,11.0,5
3459,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,6
3501,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,59.0,7
3549,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,8
7481,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,58.0,9
7520,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,10
7559,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,61.0,11
7614,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,100.0,12
7655,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,13
12888,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,28.0,14
12927,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,15
12963,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,45.0,16
12985,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,26.0,17
18388,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,36.0,18
18416,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,19
18454,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,20
18488,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,40.0,21
18521,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,43.0,22
23086,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,44.0,23
23129,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,24
23163,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,25
23194,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,44.0,26
27675,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,52.0,27
27716,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,28
27761,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,29
27799,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,52.0,30
32522,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,52.0,31
32563,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,57.0,32
32609,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,33
32641,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,40.0,34
32682,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,57.0,35
37302,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,44.0,36
37327,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,29.0,37
37365,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,42.0,38
37420,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,67.0,39
41885,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,38.0,40
41924,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,47.0,41
41975,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,65.0,42
42018,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,51.0,43
47390,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,76.0,44
47379,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,67.0,45
47333,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,46.0,46
47290,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,58.0,47
47245,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,45.0,48
52029,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,49
52058,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,43.0,50
52091,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,36.0,51
52132,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,58.0,52
