,庫房,料號,品名,數量,週
304,DLN5,A00120067,5cc 塑膠注射空針,62.0,1
371,DLN5,A00120067,5cc 塑膠注射空針,96.0,2
426,DLN5,A00120067,5cc 塑膠注射空針,79.0,3
448,DLN5,A00120067,5cc 塑膠注射空針,41.0,4
2473,DLN5,A00120067,5cc 塑膠注射空針,23.0,5
2552,DLN5,A00120067,5cc 塑膠注射空針,150.0,6
2639,DLN5,A00120067,5cc 塑膠注射空針,148.0,7
2729,DLN5,A00120067,5cc 塑膠注射空針,151.0,8
6184,DLN5,A00120067,5cc 塑膠注射空針,105.0,9
6245,DLN5,A00120067,5cc 塑膠注射空針,93.0,10
6330,DLN5,A00120067,5cc 塑膠注射空針,156.0,11
6429,DLN5,A00120067,5cc 塑膠注射空針,164.0,12
6515,DLN5,A00120067,5cc 塑膠注射空針,139.0,13
11314,DLN5,A00120067,5cc 塑膠注射空針,114.0,14
11402,DLN5,A00120067,5cc 塑膠注射空針,149.0,15
11502,DLN5,A00120067,5cc 塑膠注射空針,157.0,16
11562,DLN5,A00120067,5cc 塑膠注射空針,94.0,17
17144,DLN5,A00120067,5cc 塑膠注射空針,106.0,18
17194,DLN5,A00120067,5cc 塑膠注射空針,71.0,19
17263,DLN5,A00120067,5cc 塑膠注射空針,90.0,20
17325,DLN5,A00120067,5cc 塑膠注射空針,83.0,21
17385,DLN5,A00120067,5cc 塑膠注射空針,102.0,22
21773,DLN5,A00120067,5cc 塑膠注射空針,118.0,23
21865,DLN5,A00120067,5cc 塑膠注射空針,163.0,24
21967,DLN5,A00120067,5cc 塑膠注射空針,189.0,25
22042,DLN5,A00120067,5cc 塑膠注射空針,131.0,26
26387,DLN5,A00120067,5cc 塑膠注射空針,144.0,27
26463,DLN5,A00120067,5cc 塑膠注射空針,114.0,28
26553,DLN5,A00120067,5cc 塑膠注射空針,142.0,29
26660,DLN5,A00120067,5cc 塑膠注射空針,160.0,30
31069,DLN5,A00120067,5cc 塑膠注射空針,136.0,31
31180,DLN5,A00120067,5cc 塑膠注射空針,173.0,32
31287,DLN5,A00120067,5cc 塑膠注射空針,169.0,33
31387,DLN5,A00120067,5cc 塑膠注射空針,187.0,34
31491,DLN5,A00120067,5cc 塑膠注射空針,186.0,35
36046,DLN5,A00120067,5cc 塑膠注射空針,130.0,36
36131,DLN5,A00120067,5cc 塑膠注射空針,142.0,37
36225,DLN5,A00120067,5cc 塑膠注射空針,163.0,38
36366,DLN5,A00120067,5cc 塑膠注射空針,208.0,39
40717,DLN5,A00120067,5cc 塑膠注射空針,151.0,40
40789,DLN5,A00120067,5cc 塑膠注射空針,118.0,41
40884,DLN5,A00120067,5cc 塑膠注射空針,166.0,42
40986,DLN5,A00120067,5cc 塑膠注射空針,162.0,43
46063,DLN5,A00120067,5cc 塑膠注射空針,162.0,44
46178,DLN5,A00120067,5cc 塑膠注射空針,197.0,45
46263,DLN5,A00120067,5cc 塑膠注射空針,125.0,46
46378,DLN5,A00120067,5cc 塑膠注射空針,192.0,47
46479,DLN5,A00120067,5cc 塑膠注射空針,160.0,48
50993,DLN5,A00120067,5cc 塑膠注射空針,132.0,49
51068,DLN5,A00120067,5cc 塑膠注射空針,126.0,50
51151,DLN5,A00120067,5cc 塑膠注射空針,175.0,51
51257,DLN5,A00120067,5cc 塑膠注射空針,179.0,52
