,庫房,料號,品名,數量,週
1367,DLN5,B00304056,彈性紗捲,13.0,1
1372,DLN5,B00304056,彈性紗捲,7.0,2
1380,DLN5,B00304056,彈性紗捲,8.0,3
1386,DLN5,B00304056,彈性紗捲,5.0,4
4361,DLN5,B00304056,彈性紗捲,1.0,5
4369,DLN5,B00304056,彈性紗捲,16.0,6
4382,DLN5,B00304056,彈性紗捲,18.0,7
4393,DLN5,B00304056,彈性紗捲,17.0,8
8834,DLN5,B00304056,彈性紗捲,12.0,9
8847,DLN5,B00304056,彈性紗捲,17.0,10
8858,DLN5,B00304056,彈性紗捲,16.0,11
8869,DLN5,B00304056,彈性紗捲,18.0,12
8889,DLN5,B00304056,彈性紗捲,30.0,13
14473,DLN5,B00304056,彈性紗捲,30.0,14
14494,DLN5,B00304056,彈性紗捲,26.0,15
14514,DLN5,B00304056,彈性紗捲,27.0,16
14532,DLN5,B00304056,彈性紗捲,26.0,17
19613,DLN5,B00304056,彈性紗捲,20.0,18
19641,DLN5,B00304056,彈性紗捲,32.0,19
19650,DLN5,B00304056,彈性紗捲,13.0,20
19660,DLN5,B00304056,彈性紗捲,12.0,21
19665,DLN5,B00304056,彈性紗捲,6.0,22
24223,DLN5,B00304056,彈性紗捲,5.0,23
24233,DLN5,B00304056,彈性紗捲,16.0,24
24258,DLN5,B00304056,彈性紗捲,32.0,25
24274,DLN5,B00304056,彈性紗捲,21.0,26
28925,DLN5,B00304056,彈性紗捲,41.0,27
28944,DLN5,B00304056,彈性紗捲,27.0,28
28959,DLN5,B00304056,彈性紗捲,17.0,29
28965,DLN5,B00304056,彈性紗捲,6.0,30
33867,DLN5,B00304056,彈性紗捲,12.0,31
33816,DLN5,B00304056,彈性紗捲,31.0,32
33840,DLN5,B00304056,彈性紗捲,39.0,33
33853,DLN5,B00304056,彈性紗捲,22.0,34
33864,DLN5,B00304056,彈性紗捲,20.0,35
38508,DLN5,B00304056,彈性紗捲,23.0,36
38539,DLN5,B00304056,彈性紗捲,46.0,37
38567,DLN5,B00304056,彈性紗捲,42.0,38
38590,DLN5,B00304056,彈性紗捲,33.0,39
43579,DLN5,B00304056,彈性紗捲,15.0,40
43581,DLN5,B00304056,彈性紗捲,2.0,41
43586,DLN5,B00304056,彈性紗捲,5.0,42
43589,DLN5,B00304056,彈性紗捲,3.0,43
43591,DLN5,B00304056,彈性紗捲,2.0,44
48707,DLN5,B00304056,彈性紗捲,5.0,45
48713,DLN5,B00304056,彈性紗捲,6.0,46
48715,DLN5,B00304056,彈性紗捲,2.0,47
48723,DLN5,B00304056,彈性紗捲,8.0,48
53600,DLN5,B00304056,彈性紗捲,3.0,49
53608,DLN5,B00304056,彈性紗捲,9.0,50
53618,DLN5,B00304056,彈性紗捲,10.0,51
53627,DLN5,B00304056,彈性紗捲,11.0,52
