,庫房,料號,品名,數量,週
1340,DLN5,B00206057,彈性繃帶-非滅菌,9.0,1
1344,DLN5,B00206057,彈性繃帶-非滅菌,5.0,2
1353,DLN5,B00206057,彈性繃帶-非滅菌,15.0,3
1361,DLN5,B00206057,彈性繃帶-非滅菌,7.0,4
4326,DLN5,B00206057,彈性繃帶-非滅菌,1.0,5
4333,DLN5,B00206057,彈性繃帶-非滅菌,8.0,6
4338,DLN5,B00206057,彈性繃帶-非滅菌,5.0,7
4351,DLN5,B00206057,彈性繃帶-非滅菌,20.0,8
4360,DLN5,B00206057,彈性繃帶-非滅菌,9.0,9
8808,DLN5,B00206057,彈性繃帶-非滅菌,12.0,10
8817,DLN5,B00206057,彈性繃帶-非滅菌,10.0,11
8825,DLN5,B00206057,彈性繃帶-非滅菌,12.0,12
8831,DLN5,B00206057,彈性繃帶-非滅菌,7.0,13
14435,DLN5,B00206057,彈性繃帶-非滅菌,6.0,14
14444,DLN5,B00206057,彈性繃帶-非滅菌,10.0,15
14453,DLN5,B00206057,彈性繃帶-非滅菌,10.0,16
14455,DLN5,B00206057,彈性繃帶-非滅菌,3.0,17
19576,DLN5,B00206057,彈性繃帶-非滅菌,9.0,18
19583,DLN5,B00206057,彈性繃帶-非滅菌,8.0,19
19585,DLN5,B00206057,彈性繃帶-非滅菌,2.0,20
19593,DLN5,B00206057,彈性繃帶-非滅菌,12.0,21
19605,DLN5,B00206057,彈性繃帶-非滅菌,15.0,22
24179,DLN5,B00206057,彈性繃帶-非滅菌,14.0,23
24192,DLN5,B00206057,彈性繃帶-非滅菌,17.0,24
24207,DLN5,B00206057,彈性繃帶-非滅菌,19.0,25
24217,DLN5,B00206057,彈性繃帶-非滅菌,16.0,26
28864,DLN5,B00206057,彈性繃帶-非滅菌,12.0,27
28867,DLN5,B00206057,彈性繃帶-非滅菌,4.0,28
28880,DLN5,B00206057,彈性繃帶-非滅菌,14.0,29
28894,DLN5,B00206057,彈性繃帶-非滅菌,20.0,30
28902,DLN5,B00206057,彈性繃帶-非滅菌,10.0,31
33751,DLN5,B00206057,彈性繃帶-非滅菌,20.0,32
33770,DLN5,B00206057,彈性繃帶-非滅菌,32.0,33
33781,DLN5,B00206057,彈性繃帶-非滅菌,15.0,34
33791,DLN5,B00206057,彈性繃帶-非滅菌,20.0,35
38456,DLN5,B00206057,彈性繃帶-非滅菌,12.0,36
38467,DLN5,B00206057,彈性繃帶-非滅菌,15.0,37
38478,DLN5,B00206057,彈性繃帶-非滅菌,12.0,38
38492,DLN5,B00206057,彈性繃帶-非滅菌,20.0,39
43533,DLN5,B00206057,彈性繃帶-非滅菌,7.0,40
43535,DLN5,B00206057,彈性繃帶-非滅菌,2.0,41
43551,DLN5,B00206057,彈性繃帶-非滅菌,19.0,42
43562,DLN5,B00206057,彈性繃帶-非滅菌,16.0,43
43572,DLN5,B00206057,彈性繃帶-非滅菌,16.0,44
48657,DLN5,B00206057,彈性繃帶-非滅菌,29.0,45
48670,DLN5,B00206057,彈性繃帶-非滅菌,19.0,46
48686,DLN5,B00206057,彈性繃帶-非滅菌,23.0,47
48702,DLN5,B00206057,彈性繃帶-非滅菌,24.0,48
53545,DLN5,B00206057,彈性繃帶-非滅菌,22.0,49
53552,DLN5,B00206057,彈性繃帶-非滅菌,11.0,50
53560,DLN5,B00206057,彈性繃帶-非滅菌,8.0,51
53586,DLN5,B00206057,彈性繃帶-非滅菌,40.0,52
