,庫房,料號,品名,數量,週
56,DLN5,A00120033,2.5-3cc PVC 注射空針,115.0,1
142,DLN5,A00120033,2.5-3cc PVC 注射空針,161.0,2
225,DLN5,A00120033,2.5-3cc PVC 注射空針,161.0,3
249,DLN5,A00120033,2.5-3cc PVC 注射空針,50.0,4
2080,DLN5,A00120033,2.5-3cc PVC 注射空針,51.0,5
2198,DLN5,A00120033,2.5-3cc PVC 注射空針,227.0,6
2294,DLN5,A00120033,2.5-3cc PVC 注射空針,178.0,7
2396,DLN5,A00120033,2.5-3cc PVC 注射空針,193.0,8
5682,DLN5,A00120033,2.5-3cc PVC 注射空針,150.0,9
5780,DLN5,A00120033,2.5-3cc PVC 注射空針,189.0,10
5888,DLN5,A00120033,2.5-3cc PVC 注射空針,223.0,11
6006,DLN5,A00120033,2.5-3cc PVC 注射空針,212.0,12
6136,DLN5,A00120033,2.5-3cc PVC 注射空針,225.0,13
10771,DLN5,A00120033,2.5-3cc PVC 注射空針,220.0,14
10910,DLN5,A00120033,2.5-3cc PVC 注射空針,255.0,15
11049,DLN5,A00120033,2.5-3cc PVC 注射空針,264.0,16
11178,DLN5,A00120033,2.5-3cc PVC 注射空針,211.0,17
16729,DLN5,A00120033,2.5-3cc PVC 注射空針,248.0,18
16831,DLN5,A00120033,2.5-3cc PVC 注射空針,181.0,19
16932,DLN5,A00120033,2.5-3cc PVC 注射空針,168.0,20
17024,DLN5,A00120033,2.5-3cc PVC 注射空針,157.0,21
17120,DLN5,A00120033,2.5-3cc PVC 注射空針,185.0,22
21355,DLN5,A00120033,2.5-3cc PVC 注射空針,111.0,23
21465,DLN5,A00120033,2.5-3cc PVC 注射空針,175.0,24
21575,DLN5,A00120033,2.5-3cc PVC 注射空針,188.0,25
21667,DLN5,A00120033,2.5-3cc PVC 注射空針,157.0,26
25916,DLN5,A00120033,2.5-3cc PVC 注射空針,165.0,27
26036,DLN5,A00120033,2.5-3cc PVC 注射空針,201.0,28
26121,DLN5,A00120033,2.5-3cc PVC 注射空針,142.0,29
26229,DLN5,A00120033,2.5-3cc PVC 注射空針,181.0,30
30548,DLN5,A00120033,2.5-3cc PVC 注射空針,177.0,31
30663,DLN5,A00120033,2.5-3cc PVC 注射空針,231.0,32
30789,DLN5,A00120033,2.5-3cc PVC 注射空針,216.0,33
30889,DLN5,A00120033,2.5-3cc PVC 注射空針,170.0,34
31030,DLN5,A00120033,2.5-3cc PVC 注射空針,229.0,35
35610,DLN5,A00120033,2.5-3cc PVC 注射空針,168.0,36
35695,DLN5,A00120033,2.5-3cc PVC 注射空針,127.0,37
35793,DLN5,A00120033,2.5-3cc PVC 注射空針,173.0,38
35925,DLN5,A00120033,2.5-3cc PVC 注射空針,212.0,39
40249,DLN5,A00120033,2.5-3cc PVC 注射空針,169.0,40
40332,DLN5,A00120033,2.5-3cc PVC 注射空針,141.0,41
40475,DLN5,A00120033,2.5-3cc PVC 注射空針,260.0,42
40588,DLN5,A00120033,2.5-3cc PVC 注射空針,192.0,43
45585,DLN5,A00120033,2.5-3cc PVC 注射空針,199.0,44
45692,DLN5,A00120033,2.5-3cc PVC 注射空針,207.0,45
45802,DLN5,A00120033,2.5-3cc PVC 注射空針,170.0,46
45919,DLN5,A00120033,2.5-3cc PVC 注射空針,197.0,47
46031,DLN5,A00120033,2.5-3cc PVC 注射空針,197.0,48
50558,DLN5,A00120033,2.5-3cc PVC 注射空針,222.0,49
50649,DLN5,A00120033,2.5-3cc PVC 注射空針,153.0,50
50758,DLN5,A00120033,2.5-3cc PVC 注射空針,223.0,51
50860,DLN5,A00120033,2.5-3cc PVC 注射空針,182.0,52
