,日期,週,年,病人數量,總病人數,平均病人數,前一週總病人數,前一週平均病人數
46,2019/11/24,47,2019,30,224.0,32.0,207.0,29.57
47,2019/12/1,48,2019,32,264.0,37.71,224.0,32.0
48,2019/12/8,49,2019,27,229.0,32.71,264.0,37.71
49,2019/12/15,50,2019,27,219.0,31.29,229.0,32.71
50,2019/12/22,51,2019,32,254.0,36.29,219.0,31.29
51,2019/12/29,52,2019,30,260.0,37.14,254.0,36.29
52,2020/1/5,1,2020,26,133.0,26.6,260.0,37.14
53,2020/1/12,2,2020,21,187.0,26.71,133.0,26.6
54,2020/1/19,3,2020,20,176.0,25.14,187.0,26.71
55,2020/1/26,4,2020,1,62.0,8.86,176.0,25.14
56,2020/2/2,5,2020,14,52.0,7.43,62.0,8.86
57,2020/2/9,6,2020,36,236.0,33.71,52.0,7.43
58,2020/2/16,7,2020,27,251.0,35.86,236.0,33.71
59,2020/2/23,8,2020,26,224.0,32.0,251.0,35.86
60,2020/3/1,9,2020,22,200.0,28.57,224.0,32.0
61,2020/3/8,10,2020,28,211.0,30.14,200.0,28.57
62,2020/3/15,11,2020,29,223.0,31.86,211.0,30.14
63,2020/3/22,12,2020,44,257.0,36.71,223.0,31.86
64,2020/3/29,13,2020,40,288.0,41.14,257.0,36.71
65,2020/4/5,14,2020,29,264.0,37.71,288.0,41.14
66,2020/4/12,15,2020,39,280.0,40.0,264.0,37.71
67,2020/4/19,16,2020,36,282.0,40.29,280.0,40.0
68,2020/4/26,17,2020,38,293.0,41.86,282.0,40.29
69,2020/5/3,18,2020,38,276.0,39.43,293.0,41.86
70,2020/5/10,19,2020,35,276.0,39.43,276.0,39.43
71,2020/5/17,20,2020,32,271.0,38.71,276.0,39.43
72,2020/5/24,21,2020,23,215.0,30.71,271.0,38.71
73,2020/5/31,22,2020,22,218.0,31.14,215.0,30.71
74,2020/6/7,23,2020,30,213.0,30.43,218.0,31.14
75,2020/6/14,24,2020,43,280.0,40.0,213.0,30.43
76,2020/6/21,25,2020,38,299.0,42.71,280.0,40.0
77,2020/6/28,26,2020,30,248.0,35.43,299.0,42.71
78,2020/7/5,27,2020,40,299.0,42.71,248.0,35.43
79,2020/7/12,28,2020,28,263.0,37.57,299.0,42.71
80,2020/7/19,29,2020,29,239.0,34.14,263.0,37.57
81,2020/7/26,30,2020,26,241.0,34.43,239.0,34.14
82,2020/8/2,31,2020,35,239.0,34.14,241.0,34.43
83,2020/8/9,32,2020,37,269.0,38.43,239.0,34.14
84,2020/8/16,33,2020,38,300.0,42.86,269.0,38.43
