住院日期,護理站,成本中心,人數,週,年,該週總人數,該週最多人,前1週人數,前1週最多人,前1週平均人數
2019-07-07,D15,DLN5,22,27,2019,201,35.0,196.0,34.0,28.0
2019-07-14,D15,DLN5,24,28,2019,194,31.0,201.0,35.0,28.71
2019-07-21,D15,DLN5,27,29,2019,187,31.0,194.0,31.0,27.71
2019-07-28,D15,DLN5,28,30,2019,218,35.0,187.0,31.0,26.71
2019-08-04,D15,DLN5,20,31,2019,173,30.0,218.0,35.0,31.14
2019-08-11,D15,DLN5,28,32,2019,184,31.0,173.0,30.0,24.71
2019-08-18,D15,DLN5,26,33,2019,223,39.0,184.0,31.0,26.29
2019-08-25,D15,DLN5,18,34,2019,141,28.0,223.0,39.0,31.86
2019-09-01,D15,DLN5,27,35,2019,175,28.0,141.0,28.0,20.14
2019-09-08,D15,DLN5,34,36,2019,235,41.0,175.0,28.0,25.0
2019-09-15,D15,DLN5,22,37,2019,185,34.0,235.0,41.0,33.57
2019-09-22,D15,DLN5,28,38,2019,191,36.0,185.0,34.0,26.43
2019-09-29,D15,DLN5,25,39,2019,185,29.0,191.0,36.0,27.29
2019-10-06,D15,DLN5,23,40,2019,172,30.0,185.0,29.0,26.43
2019-10-13,D15,DLN5,27,41,2019,215,35.0,172.0,30.0,24.57
2019-10-20,D15,DLN5,22,42,2019,161,27.0,215.0,35.0,30.71
2019-10-27,D15,DLN5,21,43,2019,188,37.0,161.0,27.0,23.0
2019-11-03,D15,DLN5,21,44,2019,186,32.0,188.0,37.0,26.86
2019-11-10,D15,DLN5,21,45,2019,145,24.0,186.0,32.0,26.57
2019-11-17,D15,DLN5,28,46,2019,181,30.0,145.0,24.0,20.71
2019-11-24,D15,DLN5,27,47,2019,196,31.0,181.0,30.0,25.86
2019-12-01,D15,DLN5,30,48,2019,242,40.0,196.0,31.0,28.0
2019-12-08,D15,DLN5,23,49,2019,192,31.0,242.0,40.0,34.57
2019-12-15,D15,DLN5,26,50,2019,186,31.0,192.0,31.0,27.43
2019-12-22,D15,DLN5,32,51,2019,230,40.0,186.0,31.0,26.57
2019-12-29,D15,DLN5,27,52,2019,223,36.0,230.0,40.0,32.86
2020-01-05,D15,DLN5,22,1,2020,168,31.0,223.0,36.0,31.86
2020-01-12,D15,DLN5,20,2,2020,161,32.0,168.0,31.0,24.0
2020-01-19,D15,DLN5,18,3,2020,152,25.0,161.0,32.0,23.0
2020-01-21,D15,DLN5,16,4,2020,37,21.0,152.0,25.0,21.71
2020-02-02,D15,DLN5,13,5,2020,45,13.0,37.0,21.0,5.29
2020-02-09,D15,DLN5,33,6,2020,212,37.0,45.0,13.0,6.43
2020-02-16,D15,DLN5,26,7,2020,211,40.0,212.0,37.0,30.29
2020-02-23,D15,DLN5,24,8,2020,194,33.0,211.0,40.0,30.14
2020-03-01,D15,DLN5,17,9,2020,169,30.0,194.0,33.0,27.71
2020-03-08,D15,DLN5,25,10,2020,186,31.0,169.0,30.0,24.14
2020-03-15,D15,DLN5,27,11,2020,193,33.0,186.0,31.0,26.57
2020-03-22,D15,DLN5,42,12,2020,236,42.0,193.0,33.0,27.57
2020-03-29,D15,DLN5,39,13,2020,255,40.0,236.0,42.0,33.71
2020-04-05,D15,DLN5,30,14,2020,237,44.0,255.0,40.0,36.43
2020-04-12,D15,DLN5,37,15,2020,252,37.0,237.0,44.0,33.86
2020-04-19,D15,DLN5,36,16,2020,252,37.0,252.0,37.0,36.0
2020-04-26,D15,DLN5,37,17,2020,263,40.0,252.0,37.0,36.0
2020-05-03,D15,DLN5,35,18,2020,242,37.0,263.0,40.0,37.57
2020-05-10,D15,DLN5,35,19,2020,245,37.0,242.0,37.0,34.57
2020-05-17,D15,DLN5,31,20,2020,237,37.0,245.0,37.0,35.0
2020-05-24,D15,DLN5,20,21,2020,171,34.0,237.0,37.0,33.86
2020-05-31,D15,DLN5,21,22,2020,183,32.0,171.0,34.0,24.43
2020-06-07,D15,DLN5,30,23,2020,182,30.0,183.0,32.0,26.14
2020-06-14,D15,DLN5,40,24,2020,254,40.0,182.0,30.0,26.0
2020-06-21,D15,DLN5,35,25,2020,264,40.0,254.0,40.0,36.29
2020-06-28,D15,DLN5,30,26,2020,213,37.0,264.0,40.0,37.71
2020-07-05,D15,DLN5,37,27,2020,268,44.0,213.0,37.0,30.43
2020-07-12,D15,DLN5,27,28,2020,220,40.0,268.0,44.0,38.29
2020-07-19,D15,DLN5,25,29,2020,205,34.0,220.0,40.0,31.43
2020-07-26,D15,DLN5,21,30,2020,209,38.0,205.0,34.0,29.29
2020-08-02,D15,DLN5,35,31,2020,218,35.0,209.0,38.0,29.86
2020-08-09,D15,DLN5,35,32,2020,247,40.0,218.0,35.0,31.14
2020-08-16,D15,DLN5,36,33,2020,275,44.0,247.0,40.0,35.29
2020-08-23,D15,DLN5,26,34,2020,207,33.0,275.0,44.0,39.29
2020-08-30,D15,DLN5,36,35,2020,261,43.0,207.0,33.0,29.57
2020-09-06,D15,DLN5,18,36,2020,223,41.0,261.0,43.0,37.29
2020-09-13,D15,DLN5,37,37,2020,223,37.0,223.0,41.0,31.86
2020-09-20,D15,DLN5,33,38,2020,241,43.0,223.0,37.0,31.86
2020-09-27,D15,DLN5,30,39,2020,267,44.0,241.0,43.0,34.43
2020-10-04,D15,DLN5,18,40,2020,175,36.0,267.0,44.0,38.14
2020-10-11,D15,DLN5,26,41,2020,167,31.0,175.0,36.0,25.0
2020-10-18,D15,DLN5,33,42,2020,261,43.0,167.0,31.0,23.86
2020-10-25,D15,DLN5,26,43,2020,226,39.0,261.0,43.0,37.29
