,庫房,料號,品名,數量,週
41651,DLN5,A00120067,5cc 塑膠注射空針,128.0,1
543,DLN5,A00120067,5cc 塑膠注射空針,136.0,2
623,DLN5,A00120067,5cc 塑膠注射空針,128.0,3
708,DLN5,A00120067,5cc 塑膠注射空針,135.0,4
3996,DLN5,A00120067,5cc 塑膠注射空針,91.0,5
4045,DLN5,A00120067,5cc 塑膠注射空針,78.0,6
4136,DLN5,A00120067,5cc 塑膠注射空針,131.0,7
4222,DLN5,A00120067,5cc 塑膠注射空針,126.0,8
7893,DLN5,A00120067,5cc 塑膠注射空針,136.0,9
7995,DLN5,A00120067,5cc 塑膠注射空針,161.0,10
8098,DLN5,A00120067,5cc 塑膠注射空針,173.0,11
8219,DLN5,A00120067,5cc 塑膠注射空針,189.0,12
8297,DLN5,A00120067,5cc 塑膠注射空針,125.0,13
11832,DLN5,A00120067,5cc 塑膠注射空針,68.0,14
11931,DLN5,A00120067,5cc 塑膠注射空針,140.0,15
12015,DLN5,A00120067,5cc 塑膠注射空針,114.0,16
12127,DLN5,A00120067,5cc 塑膠注射空針,164.0,17
15679,DLN5,A00120067,5cc 塑膠注射空針,103.0,18
15776,DLN5,A00120067,5cc 塑膠注射空針,147.0,19
15863,DLN5,A00120067,5cc 塑膠注射空針,131.0,20
15945,DLN5,A00120067,5cc 塑膠注射空針,134.0,21
19239,DLN5,A00120067,5cc 塑膠注射空針,109.0,22
19304,DLN5,A00120067,5cc 塑膠注射空針,113.0,23
19390,DLN5,A00120067,5cc 塑膠注射空針,124.0,24
19479,DLN5,A00120067,5cc 塑膠注射空針,133.0,25
19572,DLN5,A00120067,5cc 塑膠注射空針,127.0,26
22627,DLN5,A00120067,5cc 塑膠注射空針,143.0,27
22705,DLN5,A00120067,5cc 塑膠注射空針,107.0,28
22786,DLN5,A00120067,5cc 塑膠注射空針,128.0,29
22883,DLN5,A00120067,5cc 塑膠注射空針,153.0,30
26249,DLN5,A00120067,5cc 塑膠注射空針,110.0,31
26333,DLN5,A00120067,5cc 塑膠注射空針,141.0,32
26449,DLN5,A00120067,5cc 塑膠注射空針,190.0,33
26509,DLN5,A00120067,5cc 塑膠注射空針,86.0,34
29972,DLN5,A00120067,5cc 塑膠注射空針,123.0,35
30097,DLN5,A00120067,5cc 塑膠注射空針,202.0,36
30195,DLN5,A00120067,5cc 塑膠注射空針,141.0,37
30274,DLN5,A00120067,5cc 塑膠注射空針,111.0,38
30335,DLN5,A00120067,5cc 塑膠注射空針,90.0,39
33831,DLN5,A00120067,5cc 塑膠注射空針,124.0,40
33923,DLN5,A00120067,5cc 塑膠注射空針,151.0,41
34000,DLN5,A00120067,5cc 塑膠注射空針,114.0,42
34098,DLN5,A00120067,5cc 塑膠注射空針,164.0,43
37460,DLN5,A00120067,5cc 塑膠注射空針,110.0,44
37513,DLN5,A00120067,5cc 塑膠注射空針,84.0,45
37589,DLN5,A00120067,5cc 塑膠注射空針,130.0,46
37684,DLN5,A00120067,5cc 塑膠注射空針,146.0,47
41299,DLN5,A00120067,5cc 塑膠注射空針,126.0,48
41380,DLN5,A00120067,5cc 塑膠注射空針,118.0,49
41447,DLN5,A00120067,5cc 塑膠注射空針,101.0,50
41527,DLN5,A00120067,5cc 塑膠注射空針,122.0,51
41626,DLN5,A00120067,5cc 塑膠注射空針,147.0,52
