,庫房,料號,品名,數量,週
43481,DLN5,B00206057,彈性繃帶-非滅菌,19.0,1
2350,DLN5,B00206057,彈性繃帶-非滅菌,21.0,2
2355,DLN5,B00206057,彈性繃帶-非滅菌,5.0,3
2368,DLN5,B00206057,彈性繃帶-非滅菌,16.0,4
6080,DLN5,B00206057,彈性繃帶-非滅菌,11.0,5
6084,DLN5,B00206057,彈性繃帶-非滅菌,5.0,6
6088,DLN5,B00206057,彈性繃帶-非滅菌,5.0,7
6092,DLN5,B00206057,彈性繃帶-非滅菌,6.0,8
9991,DLN5,B00206057,彈性繃帶-非滅菌,16.0,9
10001,DLN5,B00206057,彈性繃帶-非滅菌,12.0,10
10019,DLN5,B00206057,彈性繃帶-非滅菌,23.0,11
10024,DLN5,B00206057,彈性繃帶-非滅菌,5.0,12
10028,DLN5,B00206057,彈性繃帶-非滅菌,4.0,13
13825,DLN5,B00206057,彈性繃帶-非滅菌,1.0,14
13834,DLN5,B00206057,彈性繃帶-非滅菌,12.0,15
13846,DLN5,B00206057,彈性繃帶-非滅菌,18.0,16
13854,DLN5,B00206057,彈性繃帶-非滅菌,12.0,17
17565,DLN5,B00206057,彈性繃帶-非滅菌,6.0,18
17574,DLN5,B00206057,彈性繃帶-非滅菌,16.0,19
17582,DLN5,B00206057,彈性繃帶-非滅菌,14.0,20
17598,DLN5,B00206057,彈性繃帶-非滅菌,25.0,21
20952,DLN5,B00206057,彈性繃帶-非滅菌,6.0,22
20954,DLN5,B00206057,彈性繃帶-非滅菌,4.0,23
20967,DLN5,B00206057,彈性繃帶-非滅菌,14.0,24
20978,DLN5,B00206057,彈性繃帶-非滅菌,19.0,25
20993,DLN5,B00206057,彈性繃帶-非滅菌,27.0,26
24543,DLN5,B00206057,彈性繃帶-非滅菌,14.0,27
24552,DLN5,B00206057,彈性繃帶-非滅菌,11.0,28
24562,DLN5,B00206057,彈性繃帶-非滅菌,16.0,29
24575,DLN5,B00206057,彈性繃帶-非滅菌,21.0,30
28224,DLN5,B00206057,彈性繃帶-非滅菌,14.0,31
28237,DLN5,B00206057,彈性繃帶-非滅菌,17.0,32
28241,DLN5,B00206057,彈性繃帶-非滅菌,8.0,33
28251,DLN5,B00206057,彈性繃帶-非滅菌,14.0,34
32016,DLN5,B00206057,彈性繃帶-非滅菌,8.0,36
32021,DLN5,B00206057,彈性繃帶-非滅菌,6.0,37
32029,DLN5,B00206057,彈性繃帶-非滅菌,13.0,38
32045,DLN5,B00206057,彈性繃帶-非滅菌,18.0,39
35735,DLN5,B00206057,彈性繃帶-非滅菌,8.0,40
35744,DLN5,B00206057,彈性繃帶-非滅菌,13.0,41
35753,DLN5,B00206057,彈性繃帶-非滅菌,14.0,42
35767,DLN5,B00206057,彈性繃帶-非滅菌,28.0,43
39419,DLN5,B00206057,彈性繃帶-非滅菌,16.0,44
39426,DLN5,B00206057,彈性繃帶-非滅菌,10.0,45
39437,DLN5,B00206057,彈性繃帶-非滅菌,17.0,46
39449,DLN5,B00206057,彈性繃帶-非滅菌,16.0,47
43432,DLN5,B00206057,彈性繃帶-非滅菌,8.0,48
43451,DLN5,B00206057,彈性繃帶-非滅菌,26.0,49
43461,DLN5,B00206057,彈性繃帶-非滅菌,11.0,50
43467,DLN5,B00206057,彈性繃帶-非滅菌,5.0,51
43478,DLN5,B00206057,彈性繃帶-非滅菌,13.0,52
