,庫房,料號,品名,數量,週
43929,DLN5,B03110120,人工薄膜,18.0,1
2759,DLN5,B03110120,人工薄膜,19.0,2
2768,DLN5,B03110120,人工薄膜,14.0,3
2780,DLN5,B03110120,人工薄膜,18.0,4
6410,DLN5,B03110120,人工薄膜,7.0,5
6417,DLN5,B03110120,人工薄膜,10.0,6
6419,DLN5,B03110120,人工薄膜,3.0,7
6429,DLN5,B03110120,人工薄膜,31.0,8
10406,DLN5,B03110120,人工薄膜,31.0,9
10422,DLN5,B03110120,人工薄膜,25.0,10
10428,DLN5,B03110120,人工薄膜,7.0,11
10432,DLN5,B03110120,人工薄膜,5.0,12
10439,DLN5,B03110120,人工薄膜,8.0,13
14222,DLN5,B03110120,人工薄膜,7.0,14
14228,DLN5,B03110120,人工薄膜,12.0,15
14239,DLN5,B03110120,人工薄膜,23.0,16
14250,DLN5,B03110120,人工薄膜,21.0,17
18004,DLN5,B03110120,人工薄膜,33.0,18
18008,DLN5,B03110120,人工薄膜,5.0,19
18016,DLN5,B03110120,人工薄膜,16.0,20
18022,DLN5,B03110120,人工薄膜,9.0,21
21317,DLN5,B03110120,人工薄膜,2.0,22
21324,DLN5,B03110120,人工薄膜,10.0,23
21332,DLN5,B03110120,人工薄膜,13.0,24
21343,DLN5,B03110120,人工薄膜,26.0,25
21355,DLN5,B03110120,人工薄膜,28.0,26
24979,DLN5,B03110120,人工薄膜,25.0,27
24983,DLN5,B03110120,人工薄膜,7.0,28
24988,DLN5,B03110120,人工薄膜,7.0,29
24993,DLN5,B03110120,人工薄膜,8.0,30
28572,DLN5,B03110120,人工薄膜,16.0,31
28576,DLN5,B03110120,人工薄膜,7.0,32
28584,DLN5,B03110120,人工薄膜,12.0,33
28591,DLN5,B03110120,人工薄膜,9.0,34
28597,DLN5,B03110120,人工薄膜,10.0,35
32374,DLN5,B03110120,人工薄膜,19.0,36
32381,DLN5,B03110120,人工薄膜,10.0,37
32389,DLN5,B03110120,人工薄膜,15.0,38
32396,DLN5,B03110120,人工薄膜,8.0,39
36170,DLN5,B03110120,人工薄膜,12.0,40
36177,DLN5,B03110120,人工薄膜,11.0,41
36183,DLN5,B03110120,人工薄膜,7.0,42
36196,DLN5,B03110120,人工薄膜,19.0,43
39839,DLN5,B03110120,人工薄膜,27.0,44
39846,DLN5,B03110120,人工薄膜,8.0,45
39864,DLN5,B03110120,人工薄膜,21.0,46
39877,DLN5,B03110120,人工薄膜,24.0,47
39890,DLN5,B03110120,人工薄膜,21.0,48
43879,DLN5,B03110120,人工薄膜,25.0,49
43891,DLN5,B03110120,人工薄膜,22.0,50
43903,DLN5,B03110120,人工薄膜,19.0,51
43927,DLN5,B03110120,人工薄膜,61.0,52
