,庫房,料號,品名,數量,週
44921,DLN5,K80004044,Push Button Blood Collection,38.0,1
3508,DLN5,K80004044,Push Button Blood Collection,43.0,2
3531,DLN5,K80004044,Push Button Blood Collection,27.0,3
3549,DLN5,K80004044,Push Button Blood Collection,20.0,4
7275,DLN5,K80004044,Push Button Blood Collection,20.0,5
7290,DLN5,K80004044,Push Button Blood Collection,22.0,6
7316,DLN5,K80004044,Push Button Blood Collection,34.0,7
7335,DLN5,K80004044,Push Button Blood Collection,30.0,8
11219,DLN5,K80004044,Push Button Blood Collection,29.0,9
11242,DLN5,K80004044,Push Button Blood Collection,32.0,10
11279,DLN5,K80004044,Push Button Blood Collection,42.0,11
11311,DLN5,K80004044,Push Button Blood Collection,39.0,12
11329,DLN5,K80004044,Push Button Blood Collection,33.0,13
15098,DLN5,K80004044,Push Button Blood Collection,17.0,14
15125,DLN5,K80004044,Push Button Blood Collection,42.0,15
15142,DLN5,K80004044,Push Button Blood Collection,26.0,16
15162,DLN5,K80004044,Push Button Blood Collection,27.0,17
18728,DLN5,K80004044,Push Button Blood Collection,40.0,18
18763,DLN5,K80004044,Push Button Blood Collection,48.0,19
18790,DLN5,K80004044,Push Button Blood Collection,42.0,20
18822,DLN5,K80004044,Push Button Blood Collection,44.0,21
21960,DLN5,K80004044,Push Button Blood Collection,23.0,22
21976,DLN5,K80004044,Push Button Blood Collection,17.0,23
22007,DLN5,K80004044,Push Button Blood Collection,35.0,24
22034,DLN5,K80004044,Push Button Blood Collection,31.0,25
22064,DLN5,K80004044,Push Button Blood Collection,41.0,26
25673,DLN5,K80004044,Push Button Blood Collection,17.0,27
25686,DLN5,K80004044,Push Button Blood Collection,13.0,28
25703,DLN5,K80004044,Push Button Blood Collection,17.0,29
25735,DLN5,K80004044,Push Button Blood Collection,33.0,30
29354,DLN5,K80004044,Push Button Blood Collection,27.0,31
29370,DLN5,K80004044,Push Button Blood Collection,16.0,32
29408,DLN5,K80004044,Push Button Blood Collection,51.0,33
29430,DLN5,K80004044,Push Button Blood Collection,22.0,34
33149,DLN5,K80004044,Push Button Blood Collection,32.0,35
33190,DLN5,K80004044,Push Button Blood Collection,45.0,36
33210,DLN5,K80004044,Push Button Blood Collection,24.0,37
33230,DLN5,K80004044,Push Button Blood Collection,23.0,38
33260,DLN5,K80004044,Push Button Blood Collection,35.0,39
36879,DLN5,K80004044,Push Button Blood Collection,31.0,40
36908,DLN5,K80004044,Push Button Blood Collection,34.0,41
36933,DLN5,K80004044,Push Button Blood Collection,30.0,42
36956,DLN5,K80004044,Push Button Blood Collection,31.0,43
40664,DLN5,K80004044,Push Button Blood Collection,38.0,44
40676,DLN5,K80004044,Push Button Blood Collection,16.0,45
40698,DLN5,K80004044,Push Button Blood Collection,24.0,46
40731,DLN5,K80004044,Push Button Blood Collection,42.0,47
44766,DLN5,K80004044,Push Button Blood Collection,44.0,48
44811,DLN5,K80004044,Push Button Blood Collection,50.0,49
44837,DLN5,K80004044,Push Button Blood Collection,28.0,50
44876,DLN5,K80004044,Push Button Blood Collection,43.0,51
44913,DLN5,K80004044,Push Button Blood Collection,42.0,52
