,帳務日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),數量,本日庫存量,退貨量(-),週,年,工作天數,休假天數
24,2019-06-11,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,24,2019,5.0,2.0
25,2019-06-18,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,25,2019,5.0,2.0
26,2019-06-21,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,25,2019,5.0,2.0
27,2019-06-25,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,26,2019,5.0,2.0
28,2019-07-02,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,27,2019,5.0,2.0
29,2019-07-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,27,2019,5.0,2.0
30,2019-07-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,28,2019,5.0,2.0
31,2019-07-16,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,29,2019,5.0,2.0
32,2019-07-23,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,150.0,150.0,0.0,,30,2019,5.0,2.0
33,2019-07-30,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,31,2019,5.0,2.0
34,2019-08-06,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,32,2019,5.0,2.0
35,2019-08-13,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,33,2019,5.0,2.0
36,2019-08-20,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,34,2019,5.0,2.0
37,2019-08-27,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,35,2019,5.0,2.0
38,2019-09-03,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,150.0,150.0,0.0,0.0,36,2019,4.0,3.0
39,2019-09-10,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,0.0,37,2019,4.0,3.0
40,2019-09-17,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,0.0,38,2019,5.0,2.0
41,2019-09-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,0.0,39,2019,5.0,2.0
42,2019-10-01,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,40,2019,5.0,2.0
43,2019-10-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,41,2019,3.0,4.0
44,2019-01-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,350.0,0.0,0.0,,42,2019,5.0,2.0
45,2019-10-27,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,43,2019,5.0,2.0
46,2019-10-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,43,2019,5.0,2.0
47,2019-10-29,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,44,2019,5.0,2.0
48,2019-11-01,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,44,2019,5.0,2.0
49,2019-11-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,45,2019,5.0,2.0
50,2019-11-12,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,46,2019,5.0,2.0
51,2019-01-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,350.0,0.0,0.0,,47,2019,5.0,2.0
52,2019-11-26,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,48,2019,5.0,2.0
53,2019-12-03,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,49,2019,5.0,2.0
54,2019-12-10,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,50,2019,5.0,2.0
55,2019-12-17,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,51,2019,5.0,2.0
56,2019-12-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,52,2019,5.0,2.0
57,2019-12-31,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,1,2020,2.0,3.0
58,2020-01-07,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,2,2020,5.0,2.0
59,2020-01-14,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,3,2020,5.0,2.0
60,2020-01-21,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,4,2020,3.0,4.0
61,2019-12-31,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,0.0,0.0,,5,2020,2.0,5.0
62,2020-02-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,6,2020,5.0,2.0
63,2020-02-11,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,7,2020,5.0,2.0
