,料號
13,B13700102
14,B13700205
16,C02113149
20,F01321004
21,F01321107
36,G81300012
38,G80501505
39,G81100016
41,Z25200010
47,C02513141
53,B08142448
57,V03111008
60,F11010008
64,G80506039
65,K80003312
71,C00211083
72,G10705008
73,J00202001
77,T01101016
79,G80505008
81,T02140068
82,T02140076
83,A04120306
84,A46441986
119,B08143334
130,A00120221
134,B13500807
139,A02120241
152,C14000004
155,C13931457
156,A00120033
169,C02113096
172,A00120059
173,A03295054
174,A04200038
188,B13500651
