,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,1
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,2
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,3
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,4
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,5
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,6
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,7
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,8
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,9
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,10
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,11
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,12
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,13
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,1.0,2022-04-09,,,False,14
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,15
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,16
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,17
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,18
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,19
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,20
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,21
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,22
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,23
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,24
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,25
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,26
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,27
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,28
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,29
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,30
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,31
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,32
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,33
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,34
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,35
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,36
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,37
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,38
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,39
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,40
35350,DLI1,C00211083,橡皮導尿管1wayNo16美規,0.0,2022-04-09,202204.0,T-不計價,False,41
